
"Browser Version","Market Share % W01 2012"
"Chrome 16.0",25.36
"IE 8.0",20.88
"IE 9.0",11.28
"Firefox 8.0",11.12
"Firefox 9.0",5.63
"Firefox 3.6",3.98
"IE 7.0",3.65
"Safari 5.1",3.11
"Safari iPad",1.75
"IE 6.0",1.64
"Opera 11.6",1.5
"Safari 5.0",1.38
"Firefox 7.0",0.91
"Firefox 4.0",0.76
"Firefox 6.0",0.74
"Firefox 5.0",0.62
"Chrome 15.0",0.53
"Firefox 3.5",0.43
"Chrome 14.0",0.42
"Firefox 3.0",0.4
"Firefox 10.0",0.32
"Chrome 17.0",0.31
"Chrome 12.0",0.24
"Opera 11.5",0.23
"Chrome 13.0",0.22
"Safari 4.0",0.18
"Chrome 11.0",0.18
"Chrome 10.0",0.17
"Sony PS3 0",0.15
"Safari 4.1",0.15
"Chrome 6.0",0.11
"Firefox 2.0",0.1
"Chrome 8.0",0.09
"Chrome 5.0",0.09
"Chrome 4.0",0.08
"Android 0",0.08
"Chrome 9.0",0.08
"Chrome 7.0",0.07
"Android 3.1",0.06
"Android 3.2",0.06
"Opera 11.1",0.04
"Opera 11.0",0.04
"Maxthon 3.0",0.04
"Chromium 15.0",0.04
"Opera 10.6",0.04
"Chrome 3.0",0.04
"Firefox 11.0",0.03
"RockMelt 0.9",0.03
"Maxthon 1.0",0.03
"BlackBerry 0",0.03
"Chrome 2.0",0.02
"Opera 9.6",0.02
"Maxthon 2.0",0.02
"Mozilla 1.9",0.02
"Firefox 12.0",0.02
"Opera 10.1",0.02
"Opera 12.0",0.02
"Android 2.3",0.02
"TheWorld ",0.02
"Opera 10.0",0.02
"webOS Browser 0",0.02
"Opera 0",0.02
"Opera 10.5",0.02
"Chromium 14.0",0.02
"Chrome 18.0",0.02
"AppleWebKit 0",0.01
"Safari 3.1",0.01
"Safari 3.0",0.01
"Flock 2.6",0.01
"Firefox 1.0",0.01
"Comodo Dragon 16.1",0.01
"Safari 3.2",0.01
"SeaMonkey 2.5",0.01
"Firefox 1.5",0.01
"Chrome 1.0",0.01
"SeaMonkey 2.6",0.01
"Android 2.2",0.01
"Opera 9.2",0.01
"AOL 7.0",0.01
"Opera 9.5",0.01
"Camino 2.1",0.01
"IE 10.0",0.01
"Iron 15.0",0.01
"SeaMonkey 2.0",0
"Kindle 0",0
"Iron 16.0",0
"Chrome 0.2",0
"Windows Media Player 0",0
"Lunascape 6.5",0
"Chromium 12.0",0
"Flock 2.5",0
"Iron 14.0",0
"Android 3.0",0
"Kindle 3.0",0
"360 0",0
"Iron 13.0",0
"Safari 2.0",0
"Flock 3.5",0
"Camino 2.0",0
"Chrome 0.3",0
"Comodo Dragon 15.0",0
"Firefox 3.1",0
"IE 5.5",0
"AOL 6.0",0
"Safari 1.3",0
"Iron 12.0",0
"Chromium 18.0",0
"Iron 6.0",0
"SeaMonkey 2.4",0
"Mozilla 1.8",0
"SeaMonkey 1.1",0
"Mozilla 1.7",0
"K-Meleon 1.0",0
"Opera 10.7",0
"Flock 2.0",0
"Comodo Dragon 16.0",0
"Iron 11.0",0
"Iron 10.0",0
"Chrome 0.4",0
"Iron 8.0",0
"Iceweasel 2.0",0
"Chromium 11.0",0
"Netscape 7.2",0
"Epiphany 2.30",0
"Iron 7.0",0
"Iron 9.0",0
"Flock 1.2",0
"Iron 5.0",0
"Chromium 10.0",0
"WebTV/MSNTV 2.6",0
"SeaMonkey 2.3",0
"Comodo Dragon 10.0",0
"Comodo Dragon 14.0",0
"Epiphany 2.22",0
"Comodo Dragon 13.4",0
"Opera 9.1",0
"SeaMonkey 2.7",0
"Chromium 16.0",0
"Chromium 8.0",0
"Comodo Dragon 14.2",0
"Chromium 17.0",0
"Comodo Dragon 12.1",0
"SeaMonkey 2.2",0
"K-Meleon 1.5",0
"Camino 1.6",0
"Midori 0.4",0
"Konqueror 3.5",0
"Opera 9.0",0
"Minefield 4.0",0
"Comodo Dragon 12.2",0
"Comodo Dragon 8.0",0
"Comodo Dragon 14.1",0
"Comodo Dragon 11.4",0
"IE 5.01",0
"Comodo Dragon 13.0",0
"Safari 1.0",0
"Opera 8.0",0
"SeaMonkey 2.1",0
"Iron 4.0",0
"Minefield 3.0",0
"Android 2.1",0
"Chromium 9.0",0
"Anonymouse 0",0
"Opera 8.5",0
"Android 4.0",0
"Chromium 13.0",0
"Lunascape 6.3",0
"Iron 3.0",0
"Firefox 0",0
"Comodo Dragon 13.2",0
"Opera 10.2",0
"IE 5.0",0
"FrontPage 0",0
"Comodo Dragon 9.0",0
"Minefield 3.7",0
"Chromium 7.0",0
"Epiphany 3.2",0
"Chromium 6.0",0
"Safari 1.2",0
"MS OPD 0",0
