"Browser Version","Market Share Perc. (W19 2012)"
"Chrome 18.0",28.62
"IE 9.0",15.66
"Firefox 12.0",14.98
"IE 8.0",14.44
"Safari 5.1",3.56
"Firefox 11.0",2.71
"Safari iPad",2.22
"Firefox 3.6",2.18
"IE 7.0",1.52
"Opera 11.6",1.44
"Safari 5.0",1.07
"Firefox 10.0",1.01
"Firefox 9.0",0.91
"Chrome 17.0",0.78
"IE 6.0",0.66
"Firefox 8.0",0.62
"Chrome 16.0",0.6
"Firefox 5.0",0.5
"Firefox 4.0",0.49
"Firefox 6.0",0.47
"Firefox 13.0",0.41
"Firefox 3.5",0.39
"Firefox 7.0",0.36
"Chrome 19.0",0.35
"Firefox 3.0",0.31
"Android 0",0.31
"Chrome 14.0",0.26
"Chrome 15.0",0.23
"Chrome 12.0",0.21
"Chrome 13.0",0.18
"Chrome 11.0",0.16
"Chrome 10.0",0.15
"Safari 4.0",0.15
"Chrome 18.6",0.14
"Chrome 20.0",0.14
"Safari 4.1",0.12
"Sony PS3 0",0.12
"Chrome 8.0",0.09
"Maxthon 1.0",0.09
"Opera 11.5",0.08
"Firefox 2.0",0.08
"Silk 1.0",0.08
"Chrome 9.0",0.07
"Chrome 6.0",0.07
"Chrome 7.0",0.06
"Chrome 5.0",0.06
"Chromium 18.0",0.06
"RockMelt 0.16",0.06
"Chrome 4.0",0.05
"Opera 9.6",0.04
"Firefox 14.0",0.04
"Opera 10.6",0.03
"IE 10.0",0.03
"BlackBerry 0",0.03
"Opera 12.0",0.03
"Opera 11.1",0.03
"Opera 11.0",0.03
"Opera 10.0",0.02
"Chrome 3.0",0.02
"SeaMonkey 2.9",0.02
"Firefox 1.0",0.02
"Maxthon 2.0",0.02
"TheWorld ",0.02
"Chrome 2.0",0.02
"Opera 10.1",0.02
"Mozilla 1.9",0.01
"Flock 2.6",0.01
"webOS Browser 0",0.01
"AppleWebKit 0",0.01
"Opera 0",0.01
"Opera 9.5",0.01
"Safari 3.0",0.01
"360 0",0.01
"Maxthon 3.0",0.01
"Chrome 1.0",0.01
"Opera 10.5",0.01
"Safari 3.1",0.01
"QQ Browser 6.12",0.01
"Iron 18.0",0.01
"Firefox 1.5",0.01
"Camino 2.1",0.01
"Safari 5.2",0.01
"Safari 3.2",0.01
"Chromium 17.0",0.01
"Iron 17.0",0.01
"Nokia 0",0.01
"Opera 9.2",0.01
"Windows Media Player 0",0
"Iron 16.0",0
"SeaMonkey 2.0",0
"QQ Browser 6.13",0
"SeaMonkey 2.8",0
"Chrome 0.2",0
"Chrome 21.0",0
"Netscape 4.7",0
"AOL 7.0",0
"Chromium 14.0",0
"Flock 2.5",0
"Kindle 0",0
"Comodo Dragon 15.0",0
"Lunascape 6.6",0
"SeaMonkey 2.7",0
"Kindle 3.0",0
"Flock 2.0",0
"Chromium 15.0",0
"Comodo Dragon 16.1",0
"Iron 15.0",0
"Chromium 12.0",0
"Iron 14.0",0
"Flock 1.2",0
"Safari 1.3",0
"Mozilla 1.8",0
"Safari 2.0",0
"Flock 3.5",0
"Firefox 3.1",0
"Iron 13.0",0
"Mozilla 1.7",0
"SeaMonkey 2.4",0
"Chromium 16.0",0
"Chrome 0.3",0
"SeaMonkey 1.1",0
"QQ Browser 0",0
"Lunascape 6.7",0
"SeaMonkey 2.6",0
"Camino 2.0",0
"SeaMonkey 2.5",0
"Iron 12.0",0
"Firefox 15.0",0
"K-Meleon 1.0",0
"SeaMonkey 2.3",0
"IE 5.5",0
"Comodo Dragon 16.2",0
"Epiphany 2.30",0
"Konqueror 3.5",0
"QQ Browser 3.1",0
"Firefox 1.4",0
"Iron 10.0",0
"Chromium 10.0",0
"Epiphany 2.22",0
"Chrome 0.4",0
