"Browser Version","Market Share Perc. (W18 2012)"
"Chrome 18.0",28.1
"IE 9.0",15.85
"IE 8.0",14.93
"Firefox 12.0",10.13
"Firefox 11.0",7.09
"Safari 5.1",3.57
"Firefox 3.6",2.29
"Safari iPad",2.2
"IE 7.0",1.76
"Opera 11.6",1.41
"Safari 5.0",1.09
"Firefox 10.0",1.08
"Firefox 9.0",0.91
"Chrome 17.0",0.8
"IE 6.0",0.76
"Firefox 8.0",0.66
"Chrome 16.0",0.56
"Firefox 4.0",0.49
"Firefox 5.0",0.45
"Firefox 6.0",0.42
"Firefox 3.5",0.38
"Firefox 7.0",0.37
"Chrome 19.0",0.35
"Firefox 3.0",0.32
"Android 0",0.31
"Firefox 13.0",0.27
"Chrome 14.0",0.26
"Chrome 15.0",0.24
"Chrome 12.0",0.21
"Chrome 13.0",0.19
"Chrome 11.0",0.17
"Safari 4.0",0.15
"Chrome 10.0",0.15
"Sony PS3 0",0.13
"Chrome 20.0",0.13
"Safari 4.1",0.12
"Chrome 8.0",0.09
"Maxthon 1.0",0.09
"Chrome 18.6",0.08
"Opera 11.5",0.08
"Firefox 2.0",0.08
"Silk 1.0",0.08
"Chrome 9.0",0.07
"Chrome 6.0",0.07
"Chrome 7.0",0.07
"Chrome 5.0",0.06
"Chromium 18.0",0.06
"Chrome 4.0",0.06
"RockMelt 0.16",0.05
"Opera 9.6",0.05
"Firefox 14.0",0.04
"Opera 10.6",0.03
"IE 10.0",0.03
"Opera 11.1",0.03
"BlackBerry 0",0.03
"Opera 11.0",0.03
"Opera 12.0",0.03
"Chrome 3.0",0.02
"Opera 10.0",0.02
"Maxthon 2.0",0.02
"Firefox 1.0",0.02
"SeaMonkey 2.9",0.02
"TheWorld ",0.02
"Chrome 2.0",0.02
"Opera 10.1",0.02
"Flock 2.6",0.01
"Opera 0",0.01
"Mozilla 1.9",0.01
"Opera 9.5",0.01
"webOS Browser 0",0.01
"AppleWebKit 0",0.01
"360 0",0.01
"Chrome 1.0",0.01
"Safari 3.0",0.01
"Maxthon 3.0",0.01
"Opera 10.5",0.01
"Safari 3.1",0.01
"QQ Browser 6.12",0.01
"Firefox 15.0",0.01
"Firefox 1.5",0.01
"Iron 18.0",0.01
"Camino 2.1",0.01
"Safari 5.2",0.01
"Safari 3.2",0.01
"Chromium 17.0",0.01
"Iron 17.0",0.01
"Nokia 0",0.01
"SeaMonkey 2.8",0.01
"Opera 9.2",0.01
"Iron 16.0",0
"Windows Media Player 0",0
"SeaMonkey 2.0",0
"Chrome 0.2",0
"Netscape 4.7",0
