
"Browser Version","Market Share % W52 2011"
"Chrome 16.0",24.68
"IE 8.0",21.72
"Firefox 8.0",14.1
"IE 9.0",11.47
"Firefox 3.6",3.98
"IE 7.0",3.71
"Safari 5.1",2.87
"Firefox 9.0",2.29
"Safari iPad",1.79
"IE 6.0",1.74
"Opera 11.6",1.43
"Safari 5.0",1.3
"Firefox 7.0",0.95
"Firefox 4.0",0.76
"Firefox 6.0",0.75
"Chrome 15.0",0.69
"Firefox 5.0",0.62
"Chrome 14.0",0.45
"Firefox 3.5",0.43
"Firefox 3.0",0.4
"Opera 11.5",0.27
"Firefox 10.0",0.25
"Chrome 12.0",0.24
"Chrome 17.0",0.23
"Chrome 13.0",0.23
"Chrome 11.0",0.18
"Safari 4.0",0.18
"Chrome 10.0",0.17
"Sony PS3 0",0.16
"Safari 4.1",0.14
"Chrome 6.0",0.12
"Firefox 2.0",0.1
"Chrome 8.0",0.09
"Chrome 5.0",0.09
"Android 0",0.08
"Chrome 4.0",0.08
"Chrome 9.0",0.08
"Chrome 7.0",0.07
"Android 3.1",0.07
"Android 3.2",0.06
"Opera 11.1",0.05
"Maxthon 3.0",0.05
"Opera 11.0",0.05
"Chromium 15.0",0.04
"Opera 10.6",0.04
"Chrome 3.0",0.04
"Maxthon 1.0",0.03
"Firefox 11.0",0.03
"BlackBerry 0",0.03
"RockMelt 0.9",0.03
"Chrome 2.0",0.02
"Opera 9.6",0.02
"Maxthon 2.0",0.02
"TheWorld ",0.02
"Android 2.3",0.02
"Opera 10.1",0.02
"Opera 10.0",0.02
"Opera 12.0",0.02
"webOS Browser 0",0.02
"Firefox 12.0",0.02
"Opera 0",0.02
"Opera 10.5",0.02
"Chromium 14.0",0.02
"Mozilla 1.9",0.02
"Chrome 18.0",0.01
"SeaMonkey 2.5",0.01
"Safari 3.1",0.01
"Safari 3.0",0.01
"AppleWebKit 0",0.01
"Firefox 1.0",0.01
"Flock 2.6",0.01
"Safari 3.2",0.01
"Safari 0",0.01
"Comodo Dragon 16.1",0.01
"Chrome 1.0",0.01
"Firefox 1.5",0.01
"Android 2.2",0.01
"IE 10.0",0.01
"AOL 7.0",0.01
"Opera 9.2",0.01
"Opera 9.5",0.01
"Camino 2.1",0.01
"Kindle 0",0.01
"Iron 15.0",0.01
"SeaMonkey 2.0",0
"Chrome 0.2",0
"Windows Media Player 0",0
"Lunascape 6.5",0
"SeaMonkey 2.6",0
"Chromium 12.0",0
"Kindle 3.0",0
"Android 3.0",0
"Flock 2.5",0
"Iron 14.0",0
"Iron 16.0",0
"Iron 13.0",0
"Flock 3.5",0
"IE 5.5",0
"360 0",0
"Comodo Dragon 15.0",0
"Firefox 3.1",0
"Camino 2.0",0
"Safari 2.0",0
"Iron 12.0",0
"Chrome 0.3",0
"AOL 6.0",0
"Safari 1.3",0
"Mozilla 1.8",0
"SeaMonkey 2.4",0
"SeaMonkey 1.1",0
"Chromium 18.0",0
"Iron 6.0",0
"Opera 10.7",0
"Iron 10.0",0
"Mozilla 1.7",0
"Comodo Dragon 16.0",0
"K-Meleon 1.0",0
"Chrome 0.4",0
"Iron 11.0",0
"Flock 2.0",0
"Iron 8.0",0
"Netscape 7.2",0
"Iceweasel 2.0",0
"Epiphany 2.30",0
"Iron 7.0",0
"Iron 9.0",0
"Chromium 11.0",0
"Chromium 10.0",0
"Comodo Dragon 13.4",0
"WebTV/MSNTV 2.6",0
"Iron 5.0",0
"Comodo Dragon 10.0",0
"SeaMonkey 2.3",0
"Flock 1.2",0
"Opera 9.1",0
"K-Meleon 1.5",0
"IE 5.01",0
"SeaMonkey 2.2",0
"Chromium 17.0",0
"Comodo Dragon 14.0",0
"Comodo Dragon 12.1",0
"Opera 9.0",0
"Camino 1.6",0
"Konqueror 3.5",0
"Midori 0.4",0
"Comodo Dragon 11.4",0
"Comodo Dragon 8.0",0
"SeaMonkey 2.1",0
"Epiphany 2.22",0
"Minefield 4.0",0
"Comodo Dragon 12.2",0
"Chromium 8.0",0
"Comodo Dragon 14.2",0
"Comodo Dragon 14.1",0
"Iron 4.0",0
"Comodo Dragon 13.0",0
"Opera 8.0",0
"Safari 1.0",0
"Android 2.1",0
"SeaMonkey 2.7",0
"Chromium 13.0",0
"Minefield 3.0",0
"IE 5.0",0
"Opera 8.5",0
"Anonymouse 0",0
"Chromium 9.0",0
"Opera 10.2",0
"Firefox 0",0
"Epiphany 3.2",0
"Comodo Dragon 9.0",0
"Iron 3.0",0
"Lunascape 6.3",0
"Comodo Dragon 13.2",0
"Chromium 6.0",0
"Android 4.0",0
"Chromium 7.0",0
"Minefield 3.7",0
"IE 0",0
"Safari 1.2",0
"FrontPage 0",0
"Android 3.6",0
"Netscape 4.7",0
"Midori 0.2",0
"Netscape 8.1",0
"Lunascape 6.4",0
"Comodo Dragon 6.0",0
"Netscape 7.0",0
"Netscape 4.03",0
"Netscape 8.0",0
"IE 5.1",0
"Thunderbird 3.0",0
"Netscape 7.1",0
"Mozilla 1.0",0
"Comodo Dragon 4.1",0
"MS OPD 0",0
"Opera 7.5",0
"Lunascape 4.0",0
"UC Browser 7.8",0
"Netscape 6.2",0
"Flock 1.0",0
"Opera 7.0",0
"Windows Media Player 11.0",0
"Camino 1.5",0
"SeaMonkey 1.0",0
"Firebird 0",0
"IE 4.01",0
"Galeon 1.0",0
"Mozilla 1.5",0
"Webaroo 1.3",0
"Camino 0.7",0
"Chimera 0",0
"Epiphany 0.9",0
"Opera 5.0",0
"Android 1.6",0
"Epiphany 0.8",0
"Epiphany 3.0",0
"Safari 1.1",0
"Webaroo 1.2",0
"Camino 1.0",0
"SaferSurf 0",0
"Sleipnir 2.0",0
"Midori 0.3",0
"Konqueror 4.2",0
"Flock 1.1",0
"Netscape 4.79",0
"Galeon 2.0",0
"Konqueror 3.2",0
"Mozilla 1.6",0
"Microsoft URL Control 0",0
"NetFront 3.4",0
"Squid 0",0
"Epiphany 2.14",0
"Chrome 8.1",0
"Flock 3.0",0
"Firefox 1.4",0
"Chrome 0.0",0
"Iron 2.0",0
"UC Browser 7.9",0
"NetSurf 0",0
"AOL 5.5",0
"Lunascape 6.1",0
"Anonymous 0",0
"Comodo Dragon 4.0",0
"Links 2.2",0
"Netscape 4.8",0
"Opera 10.3",0
"Chromium 5.0",0
"SeaMonkey 2.8",0
"IE 5.2",0
"Opera 7.2",0
"Lunascape 5.1",0
"Iron 1.0",0
"Comodo Dragon 1.0",0
"Lunascape 4.8",0
"Lunascape 5.0",0
"Camino 0.8",0
"Android 0.5",0
"WebTV/MSNTV 1.0",0
"Windows Media Player 9.0",0
"Chromium 16.0",0
"Konqueror 4.1",0
"Sundance 0.9",0
"Amiga 0",0
"Lunascape 6.0",0
"Chrome 3.1",0
"Mozilla 1.2",0
"Safari 5.2",0
"SeaMonkey 2.9",0
"Konqueror 3.4",0
"Flock 0.9",0
"Midori 0.1",0
"Konqueror 3.3",0
"Mozilla 1.4",0
"Minefield 3.1",0
"Netscape 4.61",0
"Minefield 3.6",0
"RockMelt 0.8",0
"Flock 0.7",0
"iCab 3.0",0
"Chrome 18.6",0
"Proxomitron 0",0
"Lunascape 1.0",0
"Lunascape 6.2",0
"Iron 0.2",0
"Dillo 0.8",0
"Android 3.9",0
"ibisBrowser 0",0
"Opera 7.1",0
"Opera 8.1",0
"Windows-Media-Player 10.0",0
"Epiphany 2.20",0
"Opera 9.3",0
"SeaMonkey 1.5",0
"Dillo 2.0",0
"Fake IE 0",0
"Camino 2.2",0
"Lunascape 4.7",0
"Lynx 2.8",0
"Iron 0",0
"Lunascape 3.2",0
"Netscape 4.5",0
"UC Browser 1.0",0
"Opera 7.6",0
"Camino 1.1",0
"Mozilla 1.3",0
"JoeDog 0",0
"Konqueror 3.1",0
"Webaroo 2.0",0
"Opera 9.4",0
"Lunascape 1.3",0
"Epiphany 2.18",0
"Apple-PubSub 0",0
"Epiphany 1.4",0
"Opera 3.0",0
"Opera 6.0",0
"Netscape 4.0",0
"Links 2.1",0
"Lunascape 3.0",0
"Lunascape 1.4",0
"Minefield 3.2",0
"Camino 3.0",0
"Lunascape 2.0",0
"Microsoft-WebDAV 0",0
"Microsoft Office Existence Discovery 0",0
"w3m 0.5",0
"Android 1.5",0
"Netscape 6.1",0
"Lunascape 4.6",0
"Chrome 19.0",0
"iCab 2.9",0
"NetFront 3.3",0
"Lunascape 3.6",0
"Shiira 1.2",0
"Midori 0",0
"Twitturly 0",0
"UC Browser 7.7",0
"Netscape 6.0",0
"Camino 0.9",0
"Epiphany 1.2",0
"Konqueror 3.0",0
"Netscape 4.51",0
"Chrome 2.1",0
"Epiphany 2.16",0
"Windows Media Player 8.0",0
"UC Browser 7.6",0
"Lunascape 1.1",0
"Iron 0.3",0
"IE 4.5",0
