
"Browser Version","Market Share % W06 2012"
"Chrome 16.0",21.95
"IE 8.0",19.68
"IE 9.0",11.68
"Firefox 10.0",9.04
"Firefox 9.0",6.95
"Chrome 17.0",5.05
"Firefox 3.6",3.53
"IE 7.0",3.4
"Safari 5.1",3.24
"Safari iPad",1.75
"Firefox 8.0",1.6
"Opera 11.6",1.51
"IE 6.0",1.49
"Safari 5.0",1.28
"Firefox 4.0",0.68
"Firefox 7.0",0.6
"Firefox 6.0",0.59
"Firefox 5.0",0.54
"Firefox 3.5",0.44
"Firefox 3.0",0.4
"Chrome 15.0",0.36
"Chrome 14.0",0.34
"Firefox 11.0",0.3
"Chrome 12.0",0.26
"Chrome 18.0",0.25
"Chrome 13.0",0.24
"Chrome 11.0",0.2
"Chrome 10.0",0.18
"Safari 4.0",0.17
"Opera 11.5",0.16
"Safari 4.1",0.14
"Chrome 6.0",0.11
"Chrome 8.0",0.11
"Chrome 5.0",0.1
"Firefox 2.0",0.1
"Chrome 4.0",0.09
"Chrome 9.0",0.08
"Android 3.2",0.08
"Android 0",0.07
"Opera 9.6",0.07
"Chrome 7.0",0.07
"Android 3.1",0.06
"Sony PS3 0",0.05
"Opera 10.6",0.05
"Opera 11.1",0.04
"Chrome 3.0",0.04
"Chrome 18.6",0.04
"Chromium 16.0",0.04
"Opera 11.0",0.04
"Firefox 12.0",0.04
"Maxthon 3.0",0.04
"Maxthon 1.0",0.03
"Chrome 2.0",0.03
"Chrome 19.0",0.03
"RockMelt 0.9",0.03
"Opera 10.0",0.03
"BlackBerry 0",0.02
"Opera 9.5",0.02
"Maxthon 2.0",0.02
"Android 2.3",0.02
"Mozilla 1.9",0.02
"Opera 12.0",0.02
"Firefox 13.0",0.02
"TheWorld ",0.02
"Opera 10.1",0.02
"SeaMonkey 2.7",0.02
"webOS Browser 0",0.01
"Opera 10.5",0.01
"Opera 0",0.01
"Chromium 15.0",0.01
"Safari 3.1",0.01
"Safari 3.0",0.01
"Firefox 1.0",0.01
"AppleWebKit 0",0.01
"Flock 2.6",0.01
"Comodo Dragon 17.1",0.01
"Chrome 1.0",0.01
"Safari 3.2",0.01
"Firefox 1.5",0.01
"Iron 16.0",0.01
"IE 10.0",0.01
"Chromium 14.0",0.01
"Android 2.2",0.01
"Camino 2.1",0.01
"360 0",0.01
"Opera 9.2",0.01
"AOL 7.0",0.01
"Android 4.0",0.01
"Chrome 0.2",0.01
"Windows Media Player 0",0
