"Browser Version","Market Share Perc. (W27 2012)"
"Chrome 20.0",26.66
"IE 9.0",16.84
"Firefox 13.0",15.14
"IE 8.0",13.35
"Chrome 19.0",3.55
"Safari 5.1",3.37
"Firefox 12.0",2.65
"Safari iPad",2.54
"IE 7.0",1.34
"Firefox 3.6",1.3
"Opera 12.0",1.06
"Safari 5.0",0.87
"Firefox 11.0",0.77
"Firefox 10.0",0.72
"Firefox 14.0",0.56
"IE 6.0",0.55
"Firefox 9.0",0.54
"Firefox 8.0",0.48
"Chrome 17.0",0.48
"Chrome 18.0",0.45
"360 Safe Browser 0",0.44
"Chrome 16.0",0.42
"Firefox 4.0",0.39
"Opera 11.6",0.37
"Android 0",0.36
"Firefox 3.5",0.28
"Firefox 6.0",0.27
"Firefox 7.0",0.27
"Chrome 14.0",0.26
"Firefox 5.0",0.26
"Firefox 3.0",0.23
"Chrome 15.0",0.22
"Chrome 12.0",0.21
"Chrome 13.0",0.2
"Chrome 11.0",0.18
"Chrome 10.0",0.15
"Sony PS3 0",0.13
"Chrome 21.0",0.13
"Safari 4.0",0.12
"Safari 4.1",0.11
"Silk 1.0",0.1
"Chrome 8.0",0.1
"Maxthon 3.4",0.08
"Opera 11.5",0.08
"Chrome 9.0",0.07
"Chrome 7.0",0.07
"Opera 9.6",0.07
"Firefox 2.0",0.06
"Chromium 18.0",0.06
"RockMelt 0.16",0.06
"Chrome 6.0",0.06
"Chrome 5.0",0.06
"Chrome 4.0",0.05
"IE 10.0",0.05
"Firefox 15.0",0.05
"Chrome iPad",0.04
"Opera 10.6",0.04
"Opera 11.1",0.03
"BlackBerry 0",0.03
"Opera 11.0",0.03
"Opera 10.0",0.03
"Firefox 1.0",0.02
"Chrome 3.0",0.02
"Chrome 18.6",0.02
"Firefox 16.0",0.02
"Opera 9.5",0.02
"Opera 0",0.02
"Chrome 2.0",0.02
"TheWorld ",0.02
"QQ Browser 6.14",0.02
"Pale Moon 12.2",0.02
"Opera 10.1",0.02
"Maxthon 2.0",0.02
"SeaMonkey 2.10",0.02
"Chrome 22.0",0.01
"webOS Browser 0",0.01
"AppleWebKit 0",0.01
"Comodo Dragon 20.0",0.01
"Maxthon 1.0",0.01
"Mozilla 1.9",0.01
"Chrome 1.0",0.01
"Safari 6.0",0.01
"Netscape 4.7",0.01
"Opera 10.5",0.01
"Comodo Dragon 19.2",0.01
"Safari 3.0",0.01
"Iron 19.0",0.01
"Safari 3.1",0.01
"Flock 2.6",0.01
"Chrome for Andr",0.01
"Camino 2.1",0.01
"Safari 3.2",0.01
"Firefox 1.5",0.01
"Maxthon 3.3",0.01
"Maxthon 3.0",0.01
"iBrowser 3.0",0
"Iron 18.0",0
"Windows Media Player 0",0
"Opera 9.2",0
"Kindle 0",0
"Iron 17.0",0
"Chromium 17.0",0
"Lunascape 6.7",0
"Chrome 0.2",0
"Safari 5.2",0
"Chromium 14.0",0
"Pale Moon 3.6",0
"SeaMonkey 2.0",0
"Iron 16.0",0
"Pale Moon 12.0",0
"AOL 7.0",0
"Flock 2.5",0
"SeaMonkey 2.9",0
"Kindle 3.0",0
"Chromium 12.0",0
"QQ Browser 6.12",0
"Pale Moon 11.0",0
"Pale Moon 12.1",0
"Safari 1.3",0
"Opera 12.5",0
"Mozilla 1.8",0
"K-Meleon 1.0",0
"Chromium 15.0",0
"Safari 2.0",0
"Flock 3.5",0
"Comodo Dragon 15.0",0
"QQ Browser 6.13",0
"Chrome 0.3",0
"Chromium 13.0",0
"Firefox 3.1",0
"Firefox 1.4",0
"IE 5.5",0
"Iron 15.0",0
"QQ Browser 3.4",0
"Iron 14.0",0
"Flock 2.0",0
"SeaMonkey 1.1",0
"Pale Moon 9.2",0
"Iron 12.0",0
"Iron 13.0",0
"Obigo 0",0
"SeaMonkey 2.11",0
"QQ Browser 2.5",0
"Camino 2.0",0
"Epiphany 2.30",0
"Comodo Dragon 16.1",0
"Chromium 16.0",0
"Mozilla 1.7",0
"QQ Browser 3.0",0
"UC Browser 7.8",0
"Chromium 11.0",0
"Opera 10.7",0
"Chromium 10.0",0
"Chrome 0.4",0
"Netscape 7.2",0
"SeaMonkey 2.8",0
"Midori 0.4",0
"Konqueror 3.5",0
"SeaMonkey 2.7",0
"Iceweasel 2.0",0
"Pale Moon 8.0",0
"Iron 10.0",0
"Epiphany 2.22",0
"Iron 11.0",0
"Iron 8.0",0
"K-Meleon 1.5",0
"SeaMonkey 2.5",0
"IE 5.01",0
"Pale Moon 9.1",0
"Comodo Dragon 16.2",0
"AOL 6.0",0
"Iron 9.0",0
"Iron 7.0",0
"Pale Moon 7.0",0
"Flock 1.2",0
"Comodo Dragon 19.1",0
"Opera 8.0",0
"Opera 9.0",0
"Opera 9.1",0
"Iron 6.0",0
"WebTV/MSNTV 2.6",0
"SeaMonkey 2.6",0
"SeaMonkey 2.4",0
"Lunascape 6.5",0
"Pale Moon 9.0",0
"Chromium 8.0",0
"Chromium 9.0",0
"Anonymouse 0",0
"QQ Browser 0",0
"Comodo Dragon 11.4",0
"Comodo Dragon 18.1",0
"Silk 1.1",0
"Opera 8.5",0
"Comodo Dragon 18.3",0
"Iron 5.0",0
"SeaMonkey 2.2",0
"Comodo Dragon 10.0",0
"Comodo Dragon 16.0",0
"Comodo Dragon 19.0",0
"Camino 1.6",0
"IE 5.0",0
"RockMelt 0.9",0
"SeaMonkey 2.3",0
"UC Browser 8.3",0
"Comodo Dragon 12.1",0
"Comodo Dragon 8.0",0
"Safari 1.0",0
"Comodo Dragon 14.0",0
"QQ Browser 2.4",0
"Pale Moon 6.0",0
"Minefield 3.0",0
"Pale Moon 4.0",0
"Chromium 7.0",0
"Midori 0.2",0
"Lunascape 6.6",0
"MS OPD 0",0
"Netscape 4.03",0
"Iron 4.0",0
"QQ Browser 3.1",0
"Comodo Dragon 13.4",0
"Firefox 0",0
"Safari 1.2",0
"Comodo Dragon 12.2",0
"Minefield 4.0",0
"Safari 0",0
"Netscape 7.0",0
"FrontPage 0",0
"Comodo Dragon 18.0",0
"QQ Browser 3.3",0
"UC Browser 7.9",0
"Chromium 6.0",0
"Minefield 3.7",0
"Chrome 0.0",0
"IE 0",0
"Comodo Dragon 14.2",0
"SeaMonkey 2.1",0
"Comodo Dragon 17.5",0
"QQ Browser 2.3",0
"QQ Browser 2.7",0
"Comodo Dragon 14.1",0
"UC Browser 0",0
"Comodo Dragon 13.0",0
"Comodo Dragon 17.3",0
"Mozilla 1.0",0
"QQ Browser 6.11",0
"QQ Browser 6.10",0
"Comodo Dragon 17.4",0
"Iron 3.0",0
"Netscape 7.1",0
"Comodo Dragon 9.0",0
"Netscape 6.2",0
"Konqueror 3.1",0
"Pale Moon 5.0",0
"Opera 7.0",0
"Opera 7.5",0
"Comodo Dragon 4.1",0
"NetFront 0",0
"IE 4.01",0
"RockMelt 0.8",0
"Comodo Dragon 17.1",0
"Netscape 4.79",0
"Camino 1.0",0
"Netscape 8.0",0
"QQ Browser 2.8",0
"Opera 10.2",0
"Konqueror 3.0",0
"Galeon 2.0",0
"SeaMonkey 1.0",0
"Comodo Dragon 6.0",0
"Netscape 4.8",0
"Windows Media Player 11.0",0
"QQ Browser 2.2",0
"Microsoft URL Control 0",0
"SeaMonkey 2.13",0
"Lunascape 6.3",0
"Sleipnir 2.0",0
"Flock 1.0",0
"Thunderbird 3.0",0
"QQ Browser 1.4",0
"Netscape 8.1",0
"Safari 1.1",0
"Comodo Dragon 13.2",0
"Microsoft-WebDAV 0",0
"Konqueror 3.2",0
"NetSurf 0",0
"QQ Browser 2.6",0
"QQ Browser 1.9",0
"Chromium 0",0
"Anonymous 0",0
"Lunascape 6.4",0
"Midori 0.3",0
"NetFront 3.4",0
"Lunascape 6.1",0
"Galeon 1.0",0
"Firebird 0",0
"Chromium 5.0",0
"IE 5.1",0
"Webaroo 1.2",0
"Lunascape 5.1",0
"Links 2.2",0
"Squid 0",0
"QQ Browser 5.1",0
"Comodo Dragon 4.0",0
"Opera 7.1",0
"Camino 1.5",0
"QQ Browser 2.0",0
"Epiphany 3.2",0
"Netscape 4.5",0
"Lunascape 6.0",0
"Lynx 2.8",0
"Mozilla 1.6",0
