
"Browser Version","Market Share % W24 2011"
"IE 8.0",27.69
"Chrome 12.0",16.78
"Firefox 4.0",16.27
"Firefox 3.6",8.98
"IE 9.0",6.25
"IE 7.0",5.98
"Safari 5.0",3.81
"IE 6.0",3.73
"Chrome 11.0",1.97
"Firefox 3.5",1.36
"Opera 11.1",1.3
"Firefox 3.0",0.85
"Safari iPad",0.71
"Chrome 10.0",0.66
"Firefox 5.0",0.54
"Safari 4.0",0.3
"Chrome 13.0",0.26
"Safari 4.1",0.19
"Chrome 8.0",0.18
"Chrome 6.0",0.18
"Firefox 2.0",0.17
"Chrome 9.0",0.16
"Chrome 5.0",0.14
"Sony PS3 0",0.14
"Opera 11.0",0.12
"Chrome 4.0",0.11
"Chrome 7.0",0.11
"Opera 10.6",0.09
"Maxthon 2.0",0.06
"Chrome 14.0",0.06
"Chrome 3.0",0.05
"Maxthon 3.0",0.05
"Maxthon 1.0",0.05
"Android 0",0.05
"Opera 9.6",0.05
"RockMelt 0.9",0.04
"Chrome 2.0",0.03
"Mozilla 1.9",0.03
"Opera 10.1",0.03
"Opera 10.5",0.03
"Opera 10.0",0.03
"Safari 3.1",0.02
"Chromium 12.0",0.02
"Opera 11.5",0.02
"Safari 3.0",0.02
"Chromium 11.0",0.02
"SeaMonkey 2.0",0.02
"Firefox 1.5",0.02
"Safari 3.2",0.02
"Opera 0",0.02
"Windows Media Player 0",0.02
"Flock 2.0",0.01
"Opera 9.5",0.01
"AOL 7.0",0.01
"Opera 9.2",0.01
"AppleWebKit 0",0.01
"Camino 2.0",0.01
"Chrome 1.0",0.01
"Safari 5.1",0.01
"Flock 3.5",0.01
"Firefox 1.0",0.01
"Iron 11.0",0.01
"Firefox 3.1",0.01
"Comodo Dragon 11.4",0.01
"Safari 1.3",0
"Chrome 0.2",0
"Mozilla 1.8",0
"Chrome 0.3",0
"AOL 6.0",0
"Iron 10.0",0
"IE 5.5",0
"Safari 2.0",0
"Chromium 10.0",0
"360 0",0
"IE 0",0
"Lunascape 6.4",0
"Mozilla 1.7",0
"Chromium 14.0",0
"Iron 6.0",0
"Lunascape 6.5",0
"K-Meleon 1.0",0
"SeaMonkey 1.1",0
"Chrome 0.4",0
"Iron 9.0",0
"Iron 8.0",0
"BlackBerry 0",0
"Comodo Dragon 10.0",0
"Opera 10.7",0
"Iceweasel 2.0",0
"Iron 7.0",0
"Minefield 4.0",0
"Konqueror 3.5",0
"Thunderbird 3.0",0
"Opera 9.1",0
"Iron 12.0",0
"Iron 5.0",0
"Netscape 7.2",0
"Opera 9.0",0
"Chromium 13.0",0
"Chromium 8.0",0
"K-Meleon 1.5",0
"Chromium 9.0",0
"IE 5.01",0
"Comodo Dragon 8.0",0
"Iron 4.0",0
"Camino 1.6",0
"Lunascape 6.3",0
"Comodo Dragon 9.0",0
"WebTV/MSNTV 2.6",0
"Flock 1.0",0
"Opera 8.5",0
"Chromium 7.0",0
"Comodo Dragon 6.0",0
"Chromium 6.0",0
"Camino 1.5",0
"Safari 1.0",0
"Firefox 0",0
"Windows Media Player 11.0",0
"Iron 3.0",0
"Anonymouse 0",0
"Minefield 3.7",0
"Opera 8.0",0
"Minefield 3.0",0
"Netscape 8.0",0
"Safari 1.2",0
"IE 5.0",0
"Safari 0",0
"Netscape 8.1",0
"Opera 10.2",0
"IE 4.01",0
"Camino 2.1",0
"Opera 7.5",0
"Mozilla 1.0",0
"Netscape 7.0",0
"Mozilla 1.4",0
"Netscape 7.1",0
"Mozilla 1.6",0
"FrontPage 0",0
"Webaroo 0",0
"Camino 1.0",0
"Netscape 4.7",0
"Comodo Dragon 4.1",0
"Netscape 4.03",0
"Links 2.2",0
"Sleipnir 2.0",0
"IE 10.0",0
"IE 5.1",0
"MS OPD 0",0
"Mozilla 1.5",0
"Netscape 6.2",0
"Firebird 0",0
"Opera 7.0",0
"Galeon 1.0",0
"Lunascape 6.1",0
"Chimera 0",0
"Camino 0.7",0
"Windows Media Player 9.0",0
"Opera 5.0",0
"Squid 0",0
"Iron 2.0",0
"Flock 3.0",0
"Konqueror 4.2",0
"Galeon 2.0",0
"Firefox 1.4",0
"SaferSurf 0",0
"Lunascape 4.0",0
"Safari 1.1",0
"Chromium 5.0",0
"SeaMonkey 1.0",0
"Opera 10.3",0
"Camino 0.8",0
"Konqueror 3.2",0
"Opera 7.2",0
"Comodo Dragon 4.0",0
"Netscape 4.8",0
"Netscape 4.79",0
"Mozilla 1.2",0
"Iron 1.0",0
"RockMelt 0.8",0
"Lunascape 5.1",0
"Lunascape 5.0",0
"Lunascape 6.0",0
"IE 5.2",0
"Windows-Media-Player 10.0",0
"Lunascape 6.2",0
"NetSurf 0",0
"AOL 5.5",0
"Konqueror 4.1",0
"WebTV/MSNTV 1.0",0
"Iron 0",0
"Konqueror 3.4",0
"Mozilla 1.3",0
"Minefield 3.1",0
"Konqueror 3.3",0
"Iron 0.2",0
"Opera 8.1",0
"Opera 7.1",0
"Amiga 0",0
"Comodo Dragon 1.0",0
"Chrome 3.1",0
"Apple-PubSub 0",0
"Netscape 4.5",0
"Minefield 3.6",0
"Lunascape 4.8",0
"Camino 3.0",0
"Lunascape 4.7",0
"Anonymous 0",0
"Dillo 0.8",0
"Lunascape 2.1",0
"Proxomitron 0",0
"Links 2.1",0
"Chrome 8.1",0
"iCab 3.0",0
"Iron 0.3",0
"Netscape 4.0",0
"Opera 6.0",0
"Minefield 3.2",0
"Dillo 2.0",0
"Lynx 2.8",0
"IE 4.0",0
"Lunascape 1.4",0
"Opera 7.6",0
"Lunascape 3.0",0
"ibisBrowser 0",0
"Camino 1.1",0
"Camino 4.0",0
"ELinks 0.11",0
"Konqueror 3.0",0
"Anonymizied 0",0
"Windows Media Player 8.0",0
"Netscape 3.0",0
"SmallProxy 0",0
