
"Browser Version","Market Share % W06 2010"
"IE 8.0",23.48
"Firefox 3.5",20.74
"IE 7.0",19.11
"IE 6.0",11.79
"Chrome 4.0",6.14
"Firefox 3.6",5.51
"Firefox 3.0",4.79
"Safari 4.0",3.74
"Opera 10.0",1.5
"Firefox 2.0",0.8
"Opera 9.6",0.33
"Chrome 3.0",0.25
"Maxthon 2.0",0.18
"Chrome 5.0",0.15
"Safari 3.2",0.14
"Sony PS3 0",0.13
"Safari 3.1",0.13
"AOL 7.0",0.12
"Mozilla 1.9",0.12
"Maxthon 1.0",0.1
"Firefox 1.5",0.09
"Safari 3.0",0.08
"Chrome 2.0",0.07
"Opera 9.5",0.07
"Opera 9.2",0.06
"Flock 2.0",0.04
"Firefox 3.1",0.02
"Firefox 1.0",0.02
"SeaMonkey 2.0",0.02
"Windows Media Player 0",0.02
"Chrome 1.0",0.02
"Camino 2.0",0.02
"Mozilla 1.7",0.02
"AOL 6.0",0.02
"Opera 0",0.02
"Safari 1.3",0.02
"Mozilla 1.8",0.02
"AppleWebKit 0",0.01
"IE 5.5",0.01
"SeaMonkey 1.1",0.01
"Konqueror 3.5",0.01
"Safari 2.0",0.01
"Chrome 0.2",0.01
"K-Meleon 1.0",0.01
"Minefield 4.0",0.01
"Minefield 3.7",0.01
"Opera 9.1",0.01
"Netscape 7.2",0
"Iceweasel 2.0",0
"Chrome 0.3",0
"Opera 9.0",0
"Flock 1.0",0
"Camino 1.6",0
"Opera 8.5",0
"IE 5.01",0
"Chrome 0.4",0
"Sleipnir 2.0",0
"Netscape 8.1",0
"Firefox 0",0
"Netscape 8.0",0
"K-Meleon 1.5",0
"Camino 1.5",0
"Thunderbird 3.0",0
"WebTV/MSNTV 2.6",0
"Netscape 7.1",0
"Safari 1.0",0
"Opera 8.0",0
"Netscape 7.0",0
"Opera 7.5",0
"Minefield 3.0",0
"IE 5.0",0
"Windows Media Player 11.0",0
"Safari 1.2",0
"Camino 1.0",0
"Webaroo 0",0
"Konqueror 4.2",0
"Mozilla 1.0",0
"Squid 0",0
"Galeon 2.0",0
"Anonymouse 0",0
"Maxthon 3.0",0
"Mozilla 1.6",0
"Minefield 3.6",0
"Konqueror 3.2",0
"SeaMonkey 1.0",0
"FrontPage 0",0
"Firefox 1.4",0
"Opera 7.2",0
"Netscape 4.7",0
"Konqueror 4.1",0
"Windows Media Player 9.0",0
"Safari 1.1",0
"Minefield 3.1",0
"Mozilla 1.2",0
"Safari 0",0
"Netscape 6.2",0
"Firebird 0",0
"Camino 2.1",0
"Minefield 3.2",0
"Netscape 4.03",0
"IE 4.01",0
"Iron 0.2",0
"Mozilla 1.4",0
"SaferSurf 0",0
"Dillo 0.8",0
"Netscape 4.8",0
"Netscape 4.79",0
"Iron 0.3",0
"AOL 5.5",0
"Windows-Media-Player 10.0",0
"Mozilla 1.3",0
"Dillo 2.0",0
"Opera 7.6",0
"Galeon 1.0",0
"Mozilla 1.5",0
"Camino 0.8",0
"Konqueror 3.4",0
"Opera 7.0",0
"Anonymous 0",0
"Opera 7.1",0
"IE 5.1",0
"Konqueror 3.3",0
"IE 5.2",0
"Amiga 0",0
"Opera 8.1",0
"NetSurf 0",0
"Proxomitron 0",0
"WebTV/MSNTV 1.0",0
"Netscape 4.5",0
"Netscape 4.0",0
"Lynx 2.8",0
"Konqueror 3.0",0
"Links 2.2",0
"Iron 0.4",0
"iCab 3.0",0
"Netscape 4.61",0
"ibisBrowser 0",0
"Links 2.1",0
"Shiira 1.2",0
"Konqueror 3.1",0
"iCab 2.9",0
"Windows Media Player 8.0",0
"Netscape 4.51",0
"MS OPD 0",0
"BrowseX 0",0
"Microsoft Office Existence Discovery 0",0
"Netscape 6.1",0
"Camino 2.5",0
"Microsoft-WebDAV 0",0
"w3m 0.5",0
"Firefox Mobile 1.0",0
"Microsoft URL Control 0",0
"Camino 3.0",0
"SmallProxy 0",0
"Fake IE 0",0
"Netscape 4.6",0
"Camino 0.7",0
"Camino 1.1",0
"Chimera 0",0
"Lynx 0",0
"Camino 0.9",0
"Windows Media Player 7.0",0
"Minefield 3.5",0
"Anonymizied 0",0
"Avant Browser 0",0
"ELinks 0.11",0
"Apple-PubSub 0",0
"Chrome 0.5",0
"iCab 2.7",0
"VLC 0",0
"Arora 0.4",0
"IBrowse 2.2",0
"Netscape 6.0",0
"Microsoft Visio 0",0
"IE 4.0",0
"ELinks 0.10",0
"Thunderbird 1.0",0
"IE 4.5",0
"Konqueror 4.0",0
"RMA 0",0
"iCab 4.0",0
"Camino 0",0
"iTunes 0",0
"iCab 2.8",0
"NetPositive 2.2",0
"Links 0",0
"Emacs/W3 0",0
"Camino 1.2",0
"Escape 0",0
"BITS 0",0
"EVE-minibrowser 0",0
"Shiira 1.1",0
"RealPlayer 0",0
"Amaya 9.5",0
"Microsoft Excel 12.0",0
"Lynx 2.5",0
"Netbox 0",0
"CE-Preload 0",0
"HP Secure Web Browser 1.8",0
"Minefield 0",0
"Windows Media Player 10.0",0
"w3m 0.4",0
"ELinks 0.12",0
"Links 0.9",0
"Ace Explorer 0",0
"IBrowse 1.22",0
"GreenBrowser 0",0
"Thunderbird 2.0",0
"w3m 0.3",0
"ogeb browser 1.1",0
"HP Secure Web Browser 1.7",0
"SlimBrowser 0",0
"Dillo 0.6",0
"MS IPPPD 0",0
"Shiira 0.9",0
"Minefield 2.0",0
"MS Proxy 0",0
"Wipeout Pure 0",0
"WebTV/MSNTV 2.8",0
"Anonymizer 0",0
