"Browser Version","Market Share Perc. (W44 2012)"
"Chrome 22.0",31.45
"IE 9.0",17.88
"Firefox 16.0",14.96
"IE 8.0",12.1
"Safari iPad",2.82
"Safari 5.1",2.08
"Safari 6.0",1.75
"Firefox 15.0",1.58
"Opera 12.0",1.32
"IE 7.0",0.91
"Firefox 14.0",0.84
"Firefox 12.0",0.83
"Safari 5.0",0.74
"Firefox 3.6",0.7
"Chrome 21.0",0.7
"Firefox 13.0",0.48
"Android 0",0.46
"Firefox 17.0",0.46
"IE 6.0",0.45
"Firefox 10.0",0.44
"Firefox 11.0",0.36
"Chrome 17.0",0.33
"Chrome 20.0",0.31
"Chrome 16.0",0.31
"Chrome 18.0",0.3
"Chrome 19.0",0.3
"Chrome 23.0",0.29
"Firefox 9.0",0.26
"Firefox 4.0",0.23
"Firefox 8.0",0.21
"Chrome 15.0",0.18
"Chrome 14.0",0.16
"IE 10.0",0.16
"Firefox 5.0",0.16
"Chrome 12.0",0.15
"Firefox 3.0",0.15
"Chrome 13.0",0.15
"Firefox 7.0",0.15
"Firefox 6.0",0.15
"Chrome 11.0",0.15
"Chrome 24.0",0.14
"Firefox 3.5",0.14
"Sony PS3 0",0.13
"Opera 11.6",0.12
"Sogou Explorer 0",0.12
"Chrome 10.0",0.12
"Maxthon 3.0",0.11
"Chrome iPad",0.1
"Safari 4.0",0.1
"Safari 4.1",0.09
"Silk 1.0",0.08
"Chrome for Andr",0.08
"Chrome 8.0",0.07
"360 Safe Browser 0",0.07
"Chrome 9.0",0.06
"RockMelt 0.16",0.06
"Chrome 7.0",0.05
"Firefox 1.0",0.05
"Firefox 2.0",0.04
"Chrome 6.0",0.04
"Chrome 5.0",0.04
"Opera 11.5",0.04
"Chrome 4.0",0.04
"BlackBerry 0",0.03
"Firefox 18.0",0.03
"Chromium 20.0",0.03
"Chromium 18.0",0.02
"Opera 0",0.02
"Opera 10.6",0.02
"Pale Moon 15.2",0.02
"Opera 11.0",0.02
"Opera 9.6",0.02
"Firefox 19.0",0.02
"TheWorld ",0.02
"Opera 11.1",0.02
"Opera 10.0",0.02
"Chrome 3.0",0.02
"Opera 10.1",0.01
"Tencent Traveler 4.0",0.01
"QQ Browser 6.14",0.01
"AppleWebKit 0",0.01
"SeaMonkey 2.13",0.01
"Opera 12.1",0.01
"Chrome 2.0",0.01
"Mozilla 1.9",0.01
"webOS Browser 0",0.01
"Maxthon 1.0",0.01
"Maxthon 2.0",0.01
"Chrome 18.6",0.01
"Chromium 22.0",0.01
"Chrome 1.0",0.01
"Netscape 4.7",0.01
"Chrome 25.0",0.01
"Opera 10.5",0.01
"Phantom 0",0.01
"Safari 3.0",0.01
"Yandex Browser 1.0",0.01
"Camino 2.1",0.01
"Opera 12.5",0.01
"Safari 3.1",0.01
"Fake IE 0",0.01
"Safari 3.2",0.01
"Maxthon 3.4",0.01
"Opera 9.5",0
"Firefox 1.5",0
"Flock 2.6",0
"QQ Browser 6.12",0
"Opera 9.2",0
"Kindle 0",0
"Chromium 14.0",0
"Pale Moon 15.1",0
"Chrome 0.2",0
"SeaMonkey 2.0",0
"Lunascape 6.8",0
"Iron 18.0",0
"Iron 19.0",0
"Iron 17.0",0
"Kindle 3.0",0
"Chromium 17.0",0
"QQ Browser 6.13",0
"Chromium 13.0",0
"Maxthon 3.3",0
"Pale Moon 3.6",0
"SeaMonkey 2.12",0
"Chromium 12.0",0
"Iron 16.0",0
"AOL 7.0",0
"Pale Moon 12.3",0
"Pale Moon 15.0",0
"Flock 2.5",0
"Safari 1.3",0
"QQ Browser 2.6",0
"Chrome 0.3",0
"Pale Moon 12.2",0
"Chromium 11.0",0
"Flock 3.5",0
"Comodo Dragon 15.0",0
"Mozilla 1.8",0
"Pale Moon 12.0",0
"Safari 2.0",0
"QQ Browser 3.5",0
"Iron 12.0",0
"IE 5.5",0
"SeaMonkey 2.10",0
"Pale Moon 11.0",0
"Firefox 3.1",0
"Chromium 10.0",0
"UC Browser 8.4",0
"Opera 10.7",0
"Iron 15.0",0
"Epiphany 2.30",0
"SeaMonkey 2.9",0
"Chrome 0.4",0
"SeaMonkey 1.1",0
"Tencent Traveler 0",0
"Safari 5.2",0
"Midori 0.4",0
"Iron 14.0",0
"Nokia 0",0
"Windows Media Player 0",0
"Konqueror 3.5",0
"Chromium 21.0",0
"Chromium 15.0",0
"QQ Browser 3.2",0
"Pale Moon 12.1",0
"OmniWeb 5.11",0
"SeaMonkey 2.11",0
"Iron 13.0",0
"Iceweasel 2.0",0
"K-Meleon 1.0",0
"Mozilla 1.7",0
"Iron 10.0",0
"Iron 8.0",0
"Anonymouse 0",0
"Lunascape 6.7",0
"Camino 2.0",0
"QQ Browser 2.5",0
"Chromium 9.0",0
"Chromium 8.0",0
"Iron 9.0",0
"AOL 6.0",0
"Flock 2.0",0
"Comodo Dragon 16.1",0
"Lunascape 6.5",0
"Chromium 16.0",0
"Iron 7.0",0
"QQ Browser 0",0
