
"Browser Version","Market Share % W39 2011"
"IE 8.0",24.06
"Chrome 14.0",21.47
"Firefox 6.0",11.99
"IE 9.0",9.34
"Firefox 3.6",6.77
"IE 7.0",4.54
"Firefox 7.0",4.1
"IE 6.0",2.64
"Safari 5.1",2.39
"Safari 5.0",1.96
"Opera 11.5",1.43
"Firefox 5.0",1.4
"Firefox 4.0",1.29
"Safari iPad",1.07
"Chrome 13.0",0.74
"Firefox 3.0",0.56
"Firefox 3.5",0.48
"Chrome 12.0",0.39
"Chrome 15.0",0.32
"Safari 4.0",0.25
"Chrome 11.0",0.25
"Chrome 10.0",0.22
"Safari 4.1",0.17
"Chrome 6.0",0.16
"Sony PS3 0",0.15
"Chrome 16.0",0.13
"Firefox 2.0",0.12
"Chrome 5.0",0.11
"Opera 11.1",0.11
"Chrome 8.0",0.1
"Android 0",0.09
"Chrome 9.0",0.09
"Chrome 4.0",0.08
"Chrome 7.0",0.08
"Firefox 8.0",0.08
"Maxthon 3.0",0.07
"Opera 11.0",0.06
"Opera 10.6",0.06
"Maxthon 2.0",0.04
"Chromium 12.0",0.04
"Chrome 3.0",0.04
"Opera 9.6",0.04
"RockMelt 0.9",0.03
"Maxthon 1.0",0.03
"Chrome 2.0",0.03
"Mozilla 1.9",0.03
"Opera 10.1",0.03
"Opera 10.0",0.02
"Opera 10.5",0.02
"Safari 3.0",0.02
"Opera 12.0",0.02
"Safari 3.1",0.02
"Firefox 9.0",0.02
"Opera 0",0.02
"Safari 3.2",0.01
"AppleWebKit 0",0.01
"Firefox 1.5",0.01
"Windows Media Player 0",0.01
"Camino 2.0",0.01
"Opera 9.5",0.01
"IE 10.0",0.01
"Opera 9.2",0.01
"AOL 7.0",0.01
"SeaMonkey 2.3",0.01
"Flock 2.0",0.01
"Firefox 1.0",0.01
"Chromium 13.0",0.01
"Chrome 1.0",0.01
"Iron 13.0",0.01
"SeaMonkey 2.4",0.01
"SeaMonkey 2.0",0.01
"BlackBerry 0",0.01
"Chrome 0.2",0
"Safari 1.3",0
"Lunascape 6.5",0
"Comodo Dragon 14.0",0
"Flock 3.5",0
"Mozilla 1.8",0
"Iron 12.0",0
"Iron 10.0",0
"360 0",0
"Firefox 3.1",0
"AOL 6.0",0
"IE 5.5",0
"Chromium 15.0",0
"Chrome 0.3",0
"Iron 11.0",0
"SeaMonkey 1.1",0
"Safari 2.0",0
"Mozilla 1.7",0
"Chromium 11.0",0
"K-Meleon 1.0",0
"Iron 14.0",0
"Comodo Dragon 13.4",0
"Chrome 0.4",0
"Iron 8.0",0
"Iceweasel 2.0",0
"Iron 6.0",0
"Opera 10.7",0
"Chromium 10.0",0
"Konqueror 3.5",0
"Netscape 7.2",0
"Iron 9.0",0
"Iron 7.0",0
"Opera 9.1",0
"Comodo Dragon 12.2",0
"Comodo Dragon 10.0",0
"SeaMonkey 2.2",0
"Iron 5.0",0
"Chromium 14.0",0
"Comodo Dragon 12.1",0
"Minefield 4.0",0
"Opera 9.0",0
"WebTV/MSNTV 2.6",0
"Comodo Dragon 11.4",0
"IE 5.01",0
"Chromium 8.0",0
"Comodo Dragon 13.0",0
"K-Meleon 1.5",0
"Camino 1.6",0
"Iron 4.0",0
"Flock 1.0",0
"Comodo Dragon 8.0",0
"Comodo Dragon 13.2",0
"Safari 1.0",0
"Chromium 9.0",0
"Opera 8.5",0
"Lunascape 6.4",0
"Thunderbird 3.0",0
"Camino 2.1",0
"Windows Media Player 11.0",0
"IE 0",0
"Iron 3.0",0
"IE 5.0",0
"Minefield 3.0",0
"Anonymouse 0",0
"Minefield 3.7",0
"Chromium 7.0",0
"Chromium 6.0",0
"Opera 10.2",0
"SeaMonkey 2.1",0
"Opera 8.0",0
"Comodo Dragon 6.0",0
"Lunascape 6.3",0
"Comodo Dragon 9.0",0
"Firefox 0",0
"Netscape 8.0",0
"Netscape 8.1",0
"Camino 1.0",0
"Lunascape 4.0",0
"MS OPD 0",0
"FrontPage 0",0
"Camino 1.5",0
"Mozilla 1.0",0
"Safari 1.2",0
"Opera 7.5",0
"Safari 0",0
"Netscape 7.0",0
"Netscape 7.1",0
"Sleipnir 2.0",0
