
"Browser Version","Market Share % W07 2012"
"IE 8.0",18.67
"Chrome 17.0",15.56
"Firefox 10.0",11.92
"IE 9.0",11.85
"Chrome 16.0",11.04
"Firefox 9.0",4.27
"Firefox 3.6",3.64
"IE 7.0",3.4
"Safari 5.1",3.33
"Safari iPad",1.83
"IE 6.0",1.52
"Opera 11.6",1.51
"Firefox 8.0",1.41
"Safari 5.0",1.27
"Firefox 4.0",0.66
"Firefox 7.0",0.56
"Firefox 6.0",0.55
"Firefox 3.5",0.52
"Firefox 5.0",0.5
"Firefox 3.0",0.46
"Chrome 15.0",0.4
"Chrome 14.0",0.4
"Firefox 11.0",0.37
"Chrome 18.0",0.34
"Chrome 12.0",0.33
"Chrome 13.0",0.3
"Chrome 11.0",0.25
"Chrome 10.0",0.21
"Opera 11.5",0.18
"Chrome 8.0",0.16
"Safari 4.0",0.16
"Opera 9.6",0.15
"Safari 4.1",0.14
"Chrome 6.0",0.14
"Chrome 5.0",0.13
"Chrome 4.0",0.13
"Chrome 9.0",0.11
"Chrome 19.0",0.11
"Firefox 2.0",0.11
"Android 3.2",0.1
"Chrome 7.0",0.09
"Opera 10.6",0.07
"Android 3.1",0.06
"Chrome 3.0",0.05
"Opera 11.1",0.05
"Android 0",0.05
"Opera 9.5",0.05
"Chromium 16.0",0.05
"Firefox 12.0",0.04
"Chrome 2.0",0.04
"Opera 10.0",0.04
"Maxthon 1.0",0.04
"Opera 11.0",0.04
"Maxthon 3.0",0.04
"RockMelt 0.9",0.03
"Chrome 18.6",0.03
"BlackBerry 0",0.02
"Mozilla 1.9",0.02
"Maxthon 2.0",0.02
"Android 2.3",0.02
"TheWorld ",0.02
"SeaMonkey 2.7",0.02
"Opera 12.0",0.02
"Firefox 13.0",0.02
"Opera 10.1",0.02
"Firefox 1.0",0.02
"webOS Browser 0",0.02
"Opera 0",0.01
"Sony PS3 0",0.01
"AppleWebKit 0",0.01
"Opera 10.5",0.01
"Flock 2.6",0.01
"Safari 3.0",0.01
"Chrome 1.0",0.01
"Safari 3.1",0.01
"Firefox 1.5",0.01
"Android 4.0",0.01
"Iron 16.0",0.01
"Safari 3.2",0.01
"Comodo Dragon 17.3",0.01
"Chromium 15.0",0.01
"IE 10.0",0.01
"Android 2.2",0.01
"360 0",0.01
"Camino 2.1",0.01
"Chrome 0.2",0.01
"Chromium 14.0",0.01
"Opera 9.2",0.01
"AOL 7.0",0
"Windows Media Player 0",0
"Kindle 0",0
"SeaMonkey 2.0",0
"Android 3.0",0
"Comodo Dragon 17.1",0
"Lunascape 6.6",0
"Iron 15.0",0
"Flock 2.5",0
"Comodo Dragon 16.1",0
"Chromium 12.0",0
"Comodo Dragon 15.0",0
"SeaMonkey 2.6",0
"Iron 14.0",0
"Iron 13.0",0
"Safari 5.2",0
"Chromium 18.0",0
"Flock 2.0",0
"Firefox 3.1",0
"Safari 2.0",0
"Flock 3.5",0
"IE 5.5",0
"Kindle 3.0",0
"Camino 2.0",0
"Chrome 0.3",0
"Comodo Dragon 16.2",0
"Flock 1.2",0
"Safari 1.3",0
"Iron 12.0",0
"Mozilla 1.8",0
"SeaMonkey 2.4",0
"SeaMonkey 2.8",0
"AOL 6.0",0
"SeaMonkey 2.5",0
"SeaMonkey 1.1",0
"Mozilla 1.7",0
"Lunascape 6.5",0
"Chrome 0.4",0
"Iron 10.0",0
"K-Meleon 1.0",0
"SeaMonkey 2.3",0
"Iceweasel 2.0",0
"Chrome for Andr",0
"Epiphany 2.30",0
"Opera 10.7",0
"Iron 11.0",0
"Epiphany 2.22",0
"Comodo Dragon 14.0",0
"Iron 8.0",0
"Chromium 10.0",0
"Chromium 17.0",0
"SeaMonkey 2.2",0
"Iron 7.0",0
"Chromium 11.0",0
"Iron 6.0",0
"Iron 9.0",0
"Netscape 7.2",0
"Konqueror 3.5",0
"Iron 5.0",0
"Comodo Dragon 16.0",0
"Comodo Dragon 10.0",0
"WebTV/MSNTV 2.6",0
"K-Meleon 1.5",0
"Opera 9.1",0
"Comodo Dragon 13.4",0
"Midori 0.4",0
"Opera 9.0",0
"Comodo Dragon 13.0",0
"Minefield 4.0",0
"Camino 1.6",0
"Comodo Dragon 11.4",0
"IE 5.01",0
"Comodo Dragon 8.0",0
"Comodo Dragon 12.1",0
"Flock 1.0",0
"Comodo Dragon 14.2",0
"Comodo Dragon 12.2",0
"IE 4.01",0
"Opera 8.0",0
"Chromium 8.0",0
"Opera 8.5",0
"Comodo Dragon 14.1",0
"Android 2.1",0
