
"Browser Version","Market Share % W51 2011"
"Chrome 16.0",23.08
"IE 8.0",22.16
"Firefox 8.0",15.58
"IE 9.0",10.79
"Firefox 3.6",4.22
"IE 7.0",3.99
"Safari 5.1",2.77
"Chrome 15.0",2.24
"IE 6.0",1.84
"Opera 11.6",1.4
"Safari iPad",1.36
"Safari 5.0",1.31
"Firefox 7.0",0.98
"Firefox 9.0",0.97
"Firefox 4.0",0.79
"Firefox 6.0",0.79
"Firefox 5.0",0.64
"Chrome 14.0",0.48
"Firefox 3.5",0.45
"Firefox 3.0",0.43
"Opera 11.5",0.33
"Chrome 12.0",0.26
"Chrome 13.0",0.25
"Chrome 17.0",0.22
"Chrome 11.0",0.19
"Chrome 10.0",0.18
"Safari 4.0",0.18
"Sony PS3 0",0.15
"Safari 4.1",0.14
"Chrome 6.0",0.12
"Firefox 2.0",0.1
"Chrome 8.0",0.1
"Chrome 5.0",0.09
"Chrome 4.0",0.08
"Chrome 9.0",0.08
"Android 0",0.08
"Chrome 7.0",0.07
"Firefox 10.0",0.06
"Opera 11.1",0.05
"Android 3.1",0.05
"Opera 11.0",0.05
"Maxthon 3.0",0.05
"Opera 10.6",0.04
"Android 3.2",0.04
"Chromium 15.0",0.04
"Chrome 3.0",0.04
"Chromium 14.0",0.03
"Maxthon 1.0",0.03
"RockMelt 0.9",0.03
"Opera 9.6",0.03
"Chrome 2.0",0.02
"Maxthon 2.0",0.02
"Opera 10.1",0.02
"Opera 10.0",0.02
"TheWorld ",0.02
"Opera 12.0",0.02
"Opera 0",0.02
"Opera 10.5",0.02
"SeaMonkey 2.5",0.02
"Firefox 11.0",0.02
"Mozilla 1.9",0.02
"webOS Browser 0",0.02
"Android 2.3",0.01
"BlackBerry 0",0.01
"Safari 3.1",0.01
"Chrome 18.0",0.01
"Safari 3.0",0.01
"AppleWebKit 0",0.01
"Flock 2.6",0.01
"Firefox 1.0",0.01
"Safari 3.2",0.01
"Firefox 1.5",0.01
"Firefox 12.0",0.01
"Chrome 1.0",0.01
"Opera 9.2",0.01
"Comodo Dragon 16.1",0.01
"IE 10.0",0.01
"Opera 9.5",0.01
"Iron 15.0",0.01
"Android 2.2",0.01
"AOL 7.0",0.01
"Camino 2.1",0.01
"SeaMonkey 2.0",0.01
"Windows Media Player 0",0.01
"Safari 0",0
"Chrome 0.2",0
"Lunascape 6.5",0
"Chromium 12.0",0
"Flock 2.5",0
"Iron 14.0",0
"Iron 13.0",0
"Android 3.0",0
"Flock 3.5",0
"Comodo Dragon 15.0",0
"Camino 2.0",0
"360 0",0
"IE 5.5",0
"Firefox 3.1",0
"Safari 1.3",0
"Iron 12.0",0
"Safari 2.0",0
"Iron 6.0",0
"Chrome 0.3",0
"Kindle 0",0
"AOL 6.0",0
"Kindle 3.0",0
