
"Browser Version","Market Share % W15 2011"
"IE 8.0",30.68
"Firefox 3.6",19.01
"Chrome 10.0",16.22
"IE 7.0",7.54
"Firefox 4.0",7.49
"IE 6.0",4.09
"Safari 5.0",3.87
"IE 9.0",2.36
"Firefox 3.5",2
"Opera 11.0",0.97
"Firefox 3.0",0.96
"Opera 11.1",0.59
"Safari iPad",0.52
"Safari 4.0",0.39
"Chrome 11.0",0.36
"Chrome 9.0",0.35
"Chrome 8.0",0.27
"Safari 4.1",0.21
"Chrome 6.0",0.2
"Chrome 12.0",0.19
"Firefox 2.0",0.19
"Chrome 5.0",0.16
"Chrome 7.0",0.13
"Opera 10.6",0.13
"Sony PS3 0",0.13
"Chrome 4.0",0.12
"Maxthon 2.0",0.07
"Opera 9.6",0.06
"Chrome 3.0",0.06
"Maxthon 1.0",0.05
"Mozilla 1.9",0.05
"Opera 10.1",0.05
"AOL 7.0",0.04
"Opera 10.5",0.04
"Maxthon 3.0",0.04
"Chrome 2.0",0.03
"Opera 10.0",0.03
"Safari 3.1",0.03
"Safari 3.0",0.02
"Android 0",0.02
"SeaMonkey 2.0",0.02
"Safari 3.2",0.02
"Firefox 1.5",0.02
"Opera 9.5",0.02
"Opera 0",0.02
"Windows Media Player 0",0.01
"Flock 2.0",0.01
"Opera 9.2",0.01
"AppleWebKit 0",0.01
"Camino 2.0",0.01
"Chrome 1.0",0.01
"Firefox 3.1",0.01
"Firefox 1.0",0.01
"Safari 1.3",0.01
"Mozilla 1.8",0
"Chrome 0.2",0
"AOL 6.0",0
"Mozilla 1.7",0
"IE 5.5",0
"Safari 2.0",0
"Chrome 0.3",0
"360 0",0
"Lunascape 6.4",0
"Konqueror 3.5",0
"SeaMonkey 1.1",0
"K-Meleon 1.0",0
"Opera 10.7",0
"Chrome 0.4",0
"Minefield 4.0",0
"Thunderbird 3.0",0
"Iceweasel 2.0",0
"Netscape 7.2",0
"Opera 9.1",0
"Opera 11.5",0
"Opera 9.0",0
"Lunascape 6.3",0
"Safari 5.1",0
"Opera 10.2",0
"IE 5.01",0
"Camino 1.6",0
"K-Meleon 1.5",0
"Flock 1.0",0
"Minefield 3.7",0
"WebTV/MSNTV 2.6",0
"Opera 8.5",0
"Anonymouse 0",0
"Safari 1.0",0
"Firefox 0",0
"Netscape 8.0",0
"Camino 1.5",0
"IE 5.0",0
"Minefield 3.0",0
"Lunascape 6.1",0
"Opera 8.0",0
"Netscape 8.1",0
"Safari 1.2",0
"Camino 1.0",0
"Netscape 7.1",0
"Mozilla 1.0",0
"Safari 0",0
"Webaroo 0",0
"Sleipnir 2.0",0
"Mozilla 1.6",0
"Camino 2.1",0
"Windows Media Player 11.0",0
"Netscape 7.0",0
"FrontPage 0",0
"Opera 7.5",0
"Konqueror 4.2",0
"Netscape 4.03",0
"Netscape 4.7",0
"MS OPD 0",0
"Konqueror 3.2",0
"Lunascape 6.2",0
"Lunascape 4.0",0
"Lunascape 6.5",0
"Galeon 2.0",0
"IE 4.01",0
"Flock 3.0",0
"Safari 1.1",0
"Lunascape 5.1",0
"Firefox 1.4",0
"Lunascape 5.0",0
"Windows Media Player 9.0",0
"SeaMonkey 1.0",0
"Squid 0",0
"Zune 3.0",0
"Netscape 4.79",0
"Lunascape 6.0",0
"IE 5.1",0
"SaferSurf 0",0
"IE 5.2",0
"NetSurf 0",0
"AOL 5.5",0
"Mozilla 1.2",0
"Camino 0.8",0
"Mozilla 1.4",0
"Minefield 3.1",0
"Netscape 6.2",0
"Konqueror 3.3",0
"Netscape 4.8",0
"Konqueror 4.1",0
"Firebird 0",0
"Opera 7.2",0
"Netscape 4.5",0
"WebTV/MSNTV 1.0",0
"Lunascape 4.8",0
"Konqueror 3.4",0
"Amiga 0",0
"Chrome 3.1",0
"Opera 10.3",0
"Opera 7.0",0
"Minefield 3.6",0
"Zune 2.0",0
"Mozilla 1.3",0
"Mozilla 1.5",0
"Windows-Media-Player 10.0",0
"Lunascape 3.6",0
"Iron 0.2",0
"Anonymizied 0",0
"Proxomitron 0",0
"Opera 7.1",0
"Opera 8.1",0
"Lunascape 4.7",0
"Dillo 0.8",0
"Lynx 2.8",0
"Lunascape 1.3",0
"Links 2.2",0
"Zune 2.5",0
"iCab 3.0",0
"Iron 0.3",0
"Lunascape 3.0",0
"Lunascape 1.4",0
"Anonymous 0",0
"Links 2.1",0
"ibisBrowser 0",0
"Galeon 1.0",0
"iCab 2.9",0
"Konqueror 3.1",0
"Konqueror 3.0",0
"Opera 7.6",0
"Dillo 2.0",0
"Netscape 4.0",0
"Camino 1.1",0
"Apple-PubSub 0",0
"w3m 0.5",0
"Lunascape 4.1",0
"Minefield 3.2",0
"Camino 3.0",0
"ELinks 0.11",0
"Lunascape 1.2",0
"Opera 6.0",0
"SmallProxy 0",0
"Shiira 1.2",0
"Fake IE 0",0
"Chimera 0",0
"Netscape 6.1",0
"Camino 0.7",0
"Netscape 4.51",0
"Camino 4.0",0
"Iron 0.4",0
"Windows Media Player 8.0",0
"Lunascape 4.9",0
"Chrome 0.0",0
"Microsoft Office Existence Discovery 0",0
"Microsoft-WebDAV 0",0
"BrowseX 0",0
"Lunascape 4.2",0
"Avant Browser 0",0
"Lunascape 3.5",0
"Netscape 4.6",0
"Twitturly 0",0
"Lunascape 4.6",0
"Lunascape 4.3",0
"Netscape 4.61",0
"Lunascape 1.1",0
"ELinks 0.9",0
"Chrome 0.5",0
"Microsoft URL Control 0",0
"Chrome 2.1",0
"Chrome 99.0",0
"Lunascape 2.0",0
"Chrome 10.1",0
"Emacs/W3 0",0
"Camino 0.9",0
"VLC 0",0
"ELinks 0.10",0
"Camino 0",0
"Opera 5.0",0
"MS IPPPD 0",0
"Lunascape 3.1",0
"Windows Media Player 10.0",0
"Links 0",0
"ogeb browser 1.1",0
"Microsoft Visio 0",0
"Firefox Mobile 1.0",0
"ELinks 0.12",0
"Microsoft Excel 12.0",0
"Mozilla 1.1",0
"Lynx 0",0
"Chrome 13.0",0
"Chrome 25.0",0
"Lunascape 2.1",0
"Lunascape 4.5",0
"Arora 0.4",0
"Amaya 9.5",0
"NetPositive 2.2",0
"Safari 8.0",0
"IBrowse 2.2",0
"Netscape 6.0",0
"Shiira 1.0",0
"Windows Media Player 7.0",0
"IE 4.0",0
"Links 0.9",0
"iCab 4.0",0
"Shiira 1.1",0
"iCab 2.8",0
"Windows Media Player 4.0",0
"Chrome 9.1",0
"iTunes 0",0
"Chrome 10.6",0
"Privoxy 0",0
"Lunascape 1.05",0
"Amaya 9.1",0
"Camino 1.2",0
"SlimBrowser 0",0
"IE 4.5",0
"HP Secure Web Browser 1.8",0
"Lunascape 1.04",0
"Lunascape 0.99",0
"Chrome 99.9",0
"HP Secure Web Browser 1.4",0
"Minefield 6.0",0
"Lunascape 1.03",0
"BITS 0",0
"w3m 0.4",0
"Lunascape 0",0
"Chrome 1.4",0
"Dillo 0.6",0
"w3m 0",0
"Shiira 0.9",0
"iCab 2.7",0
"Websense 0",0
"Safari 8.1",0
"GreenBrowser 0",0
