"Browser Version","Market Share Perc. (W14 2013)"
"Chrome 26.0",28.35
"IE 9.0",15.45
"Firefox 19.0",12.49
"IE 8.0",9.17
"IE 10.0",5.71
"Chrome 25.0",5.09
"Safari iPad",3.54
"Firefox 20.0",2.4
"Safari 6.0",2.13
"Safari 5.1",1.58
"Chrome 24.0",0.91
"Chrome 23.0",0.82
"Firefox 16.0",0.82
"Opera 12.1",0.74
"Android 0",0.74
"Chrome 22.0",0.64
"Chrome 21.0",0.59
"IE 7.0",0.56
"Safari 5.0",0.5
"Firefox 15.0",0.46
"Firefox 12.0",0.45
"Firefox 18.0",0.45
"Firefox 3.6",0.41
"Firefox 17.0",0.35
"Firefox 14.0",0.31
"IE 6.0",0.25
"Firefox 13.0",0.23
"Firefox 10.0",0.21
"Yandex Browser 1.5",0.21
"Firefox 11.0",0.19
"Chrome for Andr",0.19
"Chrome iPad",0.19
"Chrome 27.0",0.17
"Sogou Explorer 0",0.15
"Chrome 11.0",0.14
"360 Safe Browser 0",0.14
"Firefox 21.0",0.13
"Firefox 4.0",0.13
"Firefox 9.0",0.12
"Sony PS3 0",0.11
"Firefox 8.0",0.1
"Chrome 15.0",0.1
"Firefox 3.0",0.1
"Chrome 13.0",0.1
"Chrome 12.0",0.1
"Opera 12.0",0.09
"Firefox 5.0",0.09
"Silk 2.9",0.08
"Chrome 14.0",0.08
"Firefox 7.0",0.08
"Firefox 6.0",0.08
"Chrome 17.0",0.08
"Maxthon 3.0",0.08
"Chrome 10.0",0.07
"Firefox 3.5",0.07
"Safari 4.0",0.07
"Chrome 18.0",0.07
"Chrome 16.0",0.07
"Safari 4.1",0.07
"Silk 1.0",0.06
"Chrome 20.0",0.06
"Chrome 19.0",0.06
"Maxthon 4.0",0.05
"Opera 11.6",0.05
"Chrome 8.0",0.05
"Chromium 25.0",0.05
"BlackBerry 0",0.04
"RockMelt 0.16",0.04
"Chrome 9.0",0.03
"Firefox 2.0",0.03
"Chrome 7.0",0.03
"Opera 0",0.03
"Chrome 6.0",0.03
"Chrome 28.0",0.03
"Chrome 5.0",0.03
"Chrome 4.0",0.02
"Pale Moon 19.0",0.02
"Opera 11.5",0.02
"TheWorld ",0.02
"Chrome 0.2",0.02
"Maxthon 1.0",0.02
"Tencent Traveler 4.0",0.01
"Opera 10.6",0.01
"Firefox 22.0",0.01
"Netscape 4.7",0.01
"AppleWebKit 0",0.01
"Chrome 3.0",0.01
"Firefox 23.0",0.01
"Opera 11.0",0.01
"Firefox 1.5",0.01
"Firefox 1.0",0.01
"Opera 9.2",0.01
"Maxthon 2.0",0.01
"Opera 11.1",0.01
"Opera 10.0",0.01
"Chromium 18.0",0.01
"Safari 3.0",0.01
"Mozilla 1.9",0.01
"Opera 9.6",0.01
"webOS Browser 0",0.01
"Chrome 2.0",0.01
"IE 0",0.01
"SeaMonkey 2.16",0.01
"Opera 10.1",0.01
"Opera 9.0",0.01
"Phantom 0",0.01
"Unknown 0",0.01
"QQ Browser 7.1",0.01
"Kindle 0",0.01
"QQ Browser 6.12",0.01
"Iron 25.0",0.01
"Camino 2.1",0
"SeaMonkey 2.17",0
"Chrome 1.0",0
"QQ Browser 6.14",0
"Safari 3.1",0
"QQ Browser 7.2",0
"Opera 10.5",0
"Safari 3.2",0
"Silk 2.8",0
"Lunascape 6.8",0
"Chromium 24.0",0
"Pale Moon 15.4",0
"Chromium 20.0",0
"Flock 2.6",0
"Chrome 25.2",0
"Opera 12.5",0
"Yandex Browser 1.1",0
"UC Browser 8.6",0
"Opera 9.5",0
"Kindle 3.0",0
"Opera 8.5",0
"QQ Browser 7.3",0
"Opera 7.0",0
