
"Browser Version","Market Share % W35 2010"
"IE 8.0",29.2
"Firefox 3.6",24.06
"IE 7.0",13.15
"Chrome 5.0",10.25
"IE 6.0",7.65
"Firefox 3.5",4.63
"Safari 5.0",2.74
"Firefox 3.0",2.58
"Opera 10.6",1.39
"Safari 4.0",0.93
"Chrome 6.0",0.64
"Firefox 2.0",0.4
"Safari 4.1",0.25
"Chrome 4.0",0.19
"Safari iPad",0.19
"Opera 10.5",0.19
"Opera 9.6",0.14
"Sony PS3 0",0.14
"Chrome 7.0",0.12
"Opera 10.1",0.11
"Maxthon 2.0",0.11
"Mozilla 1.9",0.09
"Chrome 3.0",0.08
"Opera 10.0",0.07
"AOL 7.0",0.07
"Maxthon 1.0",0.06
"Safari 3.1",0.05
"Safari 3.2",0.04
"Safari 3.0",0.04
"Firefox 1.5",0.04
"Chrome 2.0",0.04
"Opera 9.5",0.04
"Opera 9.2",0.03
"Flock 2.0",0.02
"SeaMonkey 2.0",0.02
"Windows Media Player 0",0.02
"Opera 0",0.02
"Opera 10.7",0.02
"Camino 2.0",0.01
"Chrome 1.0",0.01
"Firefox 3.1",0.01
"AppleWebKit 0",0.01
"Mozilla 1.8",0.01
"Safari 1.3",0.01
"Mozilla 1.7",0.01
"AOL 6.0",0.01
"Firefox 1.0",0.01
"IE 5.5",0.01
"Safari 2.0",0.01
"Chrome 0.2",0.01
"Konqueror 3.5",0.01
"Maxthon 3.0",0.01
"SeaMonkey 1.1",0.01
"Minefield 4.0",0.01
"K-Meleon 1.0",0
"Chrome 0.3",0
"Opera 9.1",0
"Opera 9.0",0
"Chrome 0.4",0
"Iceweasel 2.0",0
"Netscape 7.2",0
"Minefield 3.7",0
"Lunascape 6.2",0
"Opera 8.5",0
"IE 5.01",0
"Thunderbird 3.0",0
"Flock 1.0",0
"Lunascape 6.1",0
"Camino 1.6",0
"Lunascape 6.3",0
"K-Meleon 1.5",0
"Opera 10.2",0
"WebTV/MSNTV 2.6",0
"Netscape 8.0",0
"Opera 8.0",0
"Sleipnir 2.0",0
"Safari 1.0",0
"Netscape 8.1",0
"Minefield 3.0",0
"Camino 1.5",0
"IE 5.0",0
"Camino 1.0",0
"Opera 7.5",0
"Netscape 7.1",0
"Safari 1.2",0
"Anonymouse 0",0
"Firefox 0",0
"Microsoft Excel 12.0",0
"Webaroo 0",0
"Mozilla 1.0",0
"Netscape 7.0",0
"Windows Media Player 11.0",0
"FrontPage 0",0
"Konqueror 4.2",0
"Mozilla 1.6",0
"Galeon 2.0",0
"Safari 0",0
"Camino 2.1",0
"Firefox 1.4",0
"SeaMonkey 1.0",0
"Opera 7.2",0
"Lunascape 5.1",0
"Netscape 4.7",0
"Safari 1.1",0
"Lunascape 6.0",0
"Windows Media Player 9.0",0
"Lunascape 4.0",0
"Minefield 3.6",0
"Konqueror 3.2",0
"Squid 0",0
"Netscape 4.03",0
"Netscape 6.2",0
"Konqueror 4.1",0
"IE 4.01",0
"Mozilla 1.2",0
"Iron 0.2",0
"SaferSurf 0",0
"Mozilla 1.4",0
"Netscape 4.79",0
"Lunascape 5.0",0
"Zune 3.0",0
"Netscape 4.8",0
"Amiga 0",0
"Mozilla 1.3",0
"AOL 5.5",0
"Opera 7.0",0
"NetSurf 0",0
"Opera 7.1",0
"Firebird 0",0
"IE 5.1",0
"Konqueror 3.4",0
"Minefield 3.2",0
"Galeon 1.0",0
"Konqueror 3.3",0
"Camino 0.8",0
"MS OPD 0",0
"IE 5.2",0
"Mozilla 1.5",0
"Windows-Media-Player 10.0",0
"WebTV/MSNTV 1.0",0
"Lunascape 4.8",0
"Lunascape 4.7",0
"Minefield 3.1",0
"Chrome 3.1",0
"Opera 7.6",0
"Anonymizied 0",0
"Iron 0.3",0
"Dillo 0.8",0
"Konqueror 3.0",0
"Proxomitron 0",0
"Zune 2.0",0
"Zune 2.5",0
"Camino 1.1",0
"Links 2.2",0
"Netscape 4.0",0
"Lunascape 3.0",0
"Lunascape 1.4",0
"Lynx 2.8",0
"Lunascape 4.6",0
"Mozilla 1.1",0
"iCab 3.0",0
"Netscape 4.5",0
"Links 2.1",0
