"Browser Version","Market Share Perc. (W08 2013)"
"Chrome 24.0",29.84
"IE 9.0",16.7
"IE 8.0",10.49
"Firefox 18.0",10.35
"Firefox 19.0",5.99
"Chrome 25.0",3.91
"Safari iPad",3.9
"Safari 6.0",2.26
"Safari 5.1",1.77
"IE 10.0",1.26
"Opera 12.1",0.82
"Android 0",0.76
"Chrome 23.0",0.72
"IE 7.0",0.66
"Firefox 16.0",0.65
"Safari 5.0",0.61
"Firefox 12.0",0.57
"Firefox 17.0",0.53
"Firefox 3.6",0.52
"Chrome 21.0",0.48
"Firefox 14.0",0.42
"Firefox 15.0",0.39
"Firefox 10.0",0.3
"IE 6.0",0.3
"Firefox 13.0",0.3
"Chrome for Andr",0.25
"Firefox 11.0",0.24
"Chrome iPad",0.19
"Chrome 22.0",0.18
"Chrome 17.0",0.17
"Firefox 4.0",0.17
"Firefox 9.0",0.17
"Yandex Browser 1.5",0.15
"Chrome 11.0",0.15
"Opera 12.0",0.14
"Firefox 8.0",0.14
"Chrome 26.0",0.14
"Sogou Explorer 0",0.14
"Chrome 15.0",0.13
"Sony PS3 0",0.13
"Firefox 3.0",0.12
"Chrome 12.0",0.11
"Chrome 13.0",0.11
"Firefox 5.0",0.11
"Firefox 20.0",0.11
"Chrome 18.0",0.1
"Firefox 7.0",0.1
"Chrome 14.0",0.1
"360 Safe Browser 0",0.1
"Silk 2.7",0.1
"Firefox 6.0",0.09
"Firefox 3.5",0.09
"Maxthon 3.0",0.09
"Chrome 10.0",0.09
"Chrome 16.0",0.09
"Safari 4.0",0.08
"Safari 4.1",0.08
"Chrome 20.0",0.08
"Silk 1.0",0.08
"Chrome 19.0",0.07
"Opera 11.6",0.07
"Chrome 8.0",0.06
"Chrome 9.0",0.04
"BlackBerry 0",0.04
"RockMelt 0.16",0.04
"Maxthon 4.0",0.04
"Chrome 7.0",0.04
"Firefox 2.0",0.04
"Chrome 6.0",0.03
"Chrome 5.0",0.03
"Chrome 24.2",0.03
"Chrome 4.0",0.03
"Opera 0",0.03
"Opera 11.5",0.02
"Pale Moon 15.4",0.02
"Chromium 24.0",0.02
"Opera 10.6",0.02
"Firefox 21.0",0.02
"TheWorld ",0.02
"Opera 11.0",0.01
"Chrome 27.0",0.01
"Maxthon 1.0",0.01
"AppleWebKit 0",0.01
