"Browser Version","Market Share Perc. (W10 2013)"
"Chrome 25.0",32.61
"IE 9.0",16.84
"Firefox 19.0",14.81
"IE 8.0",10.65
"Safari iPad",3.79
"Safari 6.0",2.27
"Safari 5.1",1.7
"IE 10.0",1.47
"Chrome 24.0",1.45
"Firefox 18.0",0.98
"Opera 12.1",0.82
"Android 0",0.76
"IE 7.0",0.67
"Safari 5.0",0.59
"Firefox 16.0",0.58
"Firefox 12.0",0.55
"Firefox 3.6",0.52
"Chrome 21.0",0.5
"Chrome 23.0",0.48
"Firefox 17.0",0.46
"Firefox 20.0",0.46
"Firefox 14.0",0.39
"Firefox 15.0",0.38
"IE 6.0",0.3
"Firefox 13.0",0.28
"Firefox 10.0",0.27
"Firefox 11.0",0.23
"Chrome 26.0",0.21
"Yandex Browser 1.5",0.19
"Chrome 22.0",0.19
"Chrome iPad",0.18
"Chrome for Andr",0.18
"Chrome 17.0",0.16
"Firefox 4.0",0.16
"Chrome 11.0",0.15
"Sogou Explorer 0",0.15
"Firefox 9.0",0.15
"Firefox 8.0",0.13
"Opera 12.0",0.13
"Chrome 15.0",0.12
"Sony PS3 0",0.12
"Firefox 3.0",0.12
"Chrome 12.0",0.11
"Chrome 27.0",0.11
"Chrome 13.0",0.11
"360 Safe Browser 0",0.11
"Firefox 5.0",0.11
"Chrome 14.0",0.1
"Firefox 7.0",0.1
"Chrome 18.0",0.09
"Chrome 10.0",0.09
"Firefox 6.0",0.09
"Firefox 3.5",0.09
"Maxthon 3.0",0.09
"Chrome 16.0",0.09
"Safari 4.0",0.08
"Safari 4.1",0.08
"Silk 2.8",0.08
"Chrome 20.0",0.07
"Silk 1.0",0.07
"Chrome 19.0",0.07
"Opera 11.6",0.06
"Chrome 8.0",0.06
"Maxthon 4.0",0.05
"Chrome 9.0",0.04
"BlackBerry 0",0.04
"RockMelt 0.16",0.04
"Chrome 7.0",0.04
"Firefox 2.0",0.04
"Chrome 5.0",0.03
"Chrome 6.0",0.03
"Firefox 21.0",0.03
"Opera 0",0.03
"Chrome 4.0",0.03
"Chromium 24.0",0.02
"Opera 11.5",0.02
"Firefox 22.0",0.02
"Pale Moon 19.0",0.02
"Opera 10.6",0.02
"TheWorld ",0.02
"Silk 2.7",0.02
"Tencent Traveler 4.0",0.01
"Opera 11.0",0.01
"AppleWebKit 0",0.01
"Chrome 3.0",0.01
"Maxthon 1.0",0.01
"Netscape 4.7",0.01
"SeaMonkey 2.16",0.01
"Chrome 25.1",0.01
"Opera 11.1",0.01
"Opera 10.0",0.01
"Chromium 18.0",0.01
"QQ Browser 7.1",0.01
"Opera 9.6",0.01
"Opera 10.1",0.01
"IE 0",0.01
"Firefox 1.5",0.01
"Chrome 0.2",0.01
"webOS Browser 0",0.01
"Maxthon 2.0",0.01
"Chrome 2.0",0.01
"Safari 3.0",0.01
"Phantom 0",0.01
"Opera 9.2",0.01
"Mozilla 1.9",0.01
"Firefox 1.0",0.01
"Unknown 0",0.01
"Kindle 0",0.01
"Pale Moon 15.4",0.01
"QQ Browser 6.14",0.01
"Camino 2.1",0.01
"Opera 9.0",0.01
"Safari 3.1",0
"Chrome 1.0",0
"Opera 10.5",0
"QQ Browser 6.12",0
"Safari 3.2",0
"Chrome 24.2",0
"Yandex Browser 1.1",0
"Chromium 20.0",0
"Pale Moon 11.0",0
"Flock 2.6",0
"Pale Moon 15.3",0
"Opera 12.5",0
"Lunascape 6.8",0
"Opera 9.5",0
"Maxthon 3.4",0
"QQ Browser 2.8",0
"Kindle 3.0",0
"Chromium 23.0",0
"Pale Moon 15.2",0
"Opera 8.5",0
"Silk 2.4",0
"SeaMonkey 2.15",0
"UC Browser 2.8",0
"Chromium 17.0",0
"Chromium 22.0",0
"Netscape 7.2",0
"Opera 8.0",0
"Netscape 8.1",0
"Opera 7.0",0
"Netscape 7.0",0
"Firefox 1.4",0
"Iron 17.0",0
"UC Browser 2.2",0
"Chrome 18.6",0
"Iron 18.0",0
"QQ Browser 3.2",0
"Maxthon 3.3",0
"Silk 2.2",0
"Pale Moon 3.6",0
"Iron 19.0",0
"AOL 7.0",0
"QQ Browser 3.7",0
"QQ Browser 4.1",0
"SeaMonkey 2.0",0
"Iron 16.0",0
"Safari 1.3",0
"SeaMonkey 2.13",0
"Iron 25.0",0
"QQ Browser 6.13",0
"Mozilla 1.8",0
"Safari 2.0",0
"Flock 2.5",0
"UC Browser 8.6",0
"Midori 0.2",0
"Opera 10.7",0
"Chrome 22.1",0
"Iceweasel 2.0",0
"Chrome 0.3",0
"Chrome 23.4",0
"SeaMonkey 2.10",0
"SeaMonkey 2.14",0
"Midori 0.4",0
"IE 5.5",0
"Chromium 14.0",0
"Flock 3.5",0
