
"Browser Version","Market Share % W11 2010"
"IE 8.0",25.24
"IE 7.0",18.05
"Firefox 3.6",16.81
"IE 6.0",10.97
"Firefox 3.5",9.85
"Chrome 4.0",6.74
"Firefox 3.0",3.96
"Safari 4.0",3.76
"Opera 10.0",1.3
"Firefox 2.0",0.65
"Chrome 5.0",0.39
"Opera 10.5",0.31
"Opera 9.6",0.28
"Maxthon 2.0",0.19
"Chrome 3.0",0.14
"Sony PS3 0",0.13
"Mozilla 1.9",0.13
"Safari 3.2",0.12
"AOL 7.0",0.12
"Safari 3.1",0.11
"Maxthon 1.0",0.1
"Firefox 1.5",0.07
"Safari 3.0",0.07
"Opera 9.5",0.06
"Opera 9.2",0.06
"Chrome 2.0",0.05
"Flock 2.0",0.03
"SeaMonkey 2.0",0.02
"Opera 0",0.02
"Firefox 1.0",0.02
"Firefox 3.1",0.02
"AOL 6.0",0.02
"Mozilla 1.7",0.02
"Camino 2.0",0.02
"Safari 1.3",0.02
"Chrome 1.0",0.02
"Windows Media Player 0",0.01
"Mozilla 1.8",0.01
"IE 5.5",0.01
"Konqueror 3.5",0.01
"AppleWebKit 0",0.01
"Safari 2.0",0.01
"SeaMonkey 1.1",0.01
"Minefield 3.7",0.01
"K-Meleon 1.0",0.01
"Minefield 4.0",0.01
"Chrome 0.2",0
"Opera 9.1",0
"Netscape 7.2",0
"Lunascape 6.0",0
"Opera 9.0",0
"Iceweasel 2.0",0
"Chrome 0.3",0
"IE 5.01",0
"Flock 1.0",0
"Camino 1.6",0
"Opera 8.5",0
"Chrome 0.4",0
"Firefox 0",0
"Netscape 8.0",0
"Sleipnir 2.0",0
"Netscape 8.1",0
"Thunderbird 3.0",0
"K-Meleon 1.5",0
"WebTV/MSNTV 2.6",0
"Netscape 7.1",0
"Safari 1.0",0
"Camino 1.5",0
"IE 5.0",0
"Opera 8.0",0
"Camino 1.0",0
"Opera 7.5",0
"Safari 1.2",0
"Netscape 7.0",0
"Minefield 3.0",0
"Lunascape 5.1",0
"Maxthon 3.0",0
"Mozilla 1.0",0
"Webaroo 0",0
"Mozilla 1.4",0
"Konqueror 3.2",0
"Anonymouse 0",0
"Mozilla 1.6",0
"Windows Media Player 11.0",0
"Galeon 2.0",0
"Konqueror 4.2",0
"Squid 0",0
"IE 4.01",0
"FrontPage 0",0
"SeaMonkey 1.0",0
"Firefox 1.4",0
"Minefield 3.6",0
"Proxomitron 0",0
"Opera 7.2",0
"Netscape 6.2",0
"Safari 1.1",0
"Camino 2.1",0
"Netscape 4.7",0
"Netscape 4.03",0
"Anonymous 0",0
"Firebird 0",0
"Safari 0",0
"Konqueror 4.1",0
"Lunascape 4.0",0
"Netscape 4.8",0
"Windows Media Player 9.0",0
"IE 5.1",0
"Mozilla 1.5",0
"Minefield 3.1",0
"IE 5.2",0
"Mozilla 1.2",0
"Lunascape 5.0",0
"AOL 5.5",0
"Galeon 1.0",0
"Opera 7.0",0
"Netscape 4.79",0
"Mozilla 1.3",0
"SaferSurf 0",0
"Lunascape 4.7",0
"Opera 7.1",0
"Iron 0.2",0
"Camino 0.8",0
"Konqueror 3.4",0
"Dillo 0.8",0
"Konqueror 3.3",0
"Amiga 0",0
"Windows-Media-Player 10.0",0
"Chimera 0",0
"Minefield 3.2",0
"Camino 0.7",0
"Lunascape 4.8",0
"Iron 0.3",0
"Netscape 4.61",0
"iCab 3.0",0
"Opera 7.6",0
"WebTV/MSNTV 1.0",0
"NetSurf 0",0
"ibisBrowser 0",0
"Netscape 4.0",0
"Lunascape 3.0",0
"Netscape 4.5",0
"Lunascape 1.4",0
"Opera 8.1",0
"Lunascape 1.05",0
"Lynx 2.8",0
"Lunascape 4.9",0
"Links 2.2",0
"Lynx 0",0
"Dillo 2.0",0
"Lunascape 6.1",0
"Iron 0.4",0
"Netscape 4.51",0
"Shiira 1.2",0
"Konqueror 3.0",0
"MS OPD 0",0
"BrowseX 0",0
