
"Browser Version","Market Share % W08 2011"
"IE 8.0",30.47
"Firefox 3.6",25.21
"Chrome 9.0",15.11
"IE 7.0",9.86
"IE 6.0",4.6
"Safari 5.0",3.82
"Firefox 3.5",2.51
"Opera 11.0",1.51
"Firefox 3.0",1.16
"Firefox 4.0",1.01
"IE 9.0",0.52
"Safari 4.0",0.46
"Safari iPad",0.44
"Chrome 8.0",0.42
"Chrome 10.0",0.39
"Safari 4.1",0.23
"Firefox 2.0",0.22
"Chrome 6.0",0.19
"Opera 10.6",0.19
"Chrome 5.0",0.17
"Chrome 11.0",0.16
"Chrome 7.0",0.15
"Sony PS3 0",0.14
"Chrome 4.0",0.12
"Maxthon 2.0",0.09
"Opera 9.6",0.07
"Chrome 3.0",0.06
"Mozilla 1.9",0.06
"Opera 10.5",0.06
"Opera 10.1",0.05
"Maxthon 1.0",0.05
"AOL 7.0",0.05
"Opera 10.0",0.04
"Safari 3.1",0.03
"Chrome 2.0",0.03
"Safari 3.0",0.03
"Firefox 1.5",0.02
"Maxthon 3.0",0.02
"Safari 3.2",0.02
"SeaMonkey 2.0",0.02
"Opera 9.5",0.02
"Opera 9.2",0.02
"Windows Media Player 0",0.02
"Opera 0",0.02
"Flock 2.0",0.02
"Android 0",0.02
"Camino 2.0",0.01
"Chrome 1.0",0.01
"AppleWebKit 0",0.01
"Firefox 3.1",0.01
"Safari 1.3",0.01
"Firefox 1.0",0.01
"AOL 6.0",0.01
"Mozilla 1.8",0
"Chrome 0.2",0
"IE 5.5",0
"Mozilla 1.7",0
"Opera 11.1",0
"Konqueror 3.5",0
"Safari 2.0",0
"360 0",0
"Chrome 0.3",0
"SeaMonkey 1.1",0
"Opera 10.7",0
"K-Meleon 1.0",0
"Lunascape 6.4",0
"Chrome 0.4",0
"Iceweasel 2.0",0
"Lunascape 6.3",0
"Minefield 4.0",0
"Netscape 7.2",0
"Opera 9.1",0
"Thunderbird 3.0",0
"Opera 9.0",0
"Opera 10.2",0
"Camino 1.6",0
"K-Meleon 1.5",0
"IE 5.01",0
"Flock 1.0",0
"Safari 5.1",0
