"Browser Version","Market Share Perc. (W17 2012)"
"Chrome 18.0",27.8
"IE 9.0",15.44
"IE 8.0",14.93
"Firefox 11.0",12.69
"Firefox 12.0",4.24
"Safari 5.1",3.57
"IE 7.0",2.61
"Firefox 3.6",2.43
"Safari iPad",2.13
"Opera 11.6",1.35
"IE 6.0",1.19
"Safari 5.0",1.12
"Firefox 10.0",1.11
"Firefox 9.0",0.9
"Chrome 17.0",0.81
"Firefox 8.0",0.66
"Chrome 16.0",0.53
"Firefox 4.0",0.49
"Firefox 5.0",0.42
"Firefox 6.0",0.4
"Firefox 3.5",0.39
"Firefox 7.0",0.37
"Chrome 19.0",0.34
"Firefox 3.0",0.34
"Android 0",0.3
"Chrome 14.0",0.27
"Chrome 15.0",0.23
"Chrome 12.0",0.2
"Chrome 13.0",0.18
"Chrome 11.0",0.16
"Safari 4.0",0.16
"Chrome 10.0",0.15
"Safari 4.1",0.13
"Chrome 20.0",0.12
"Sony PS3 0",0.12
"Firefox 2.0",0.09
"Chrome 8.0",0.09
"Firefox 13.0",0.09
"Maxthon 1.0",0.08
"Silk 1.0",0.08
"Opera 11.5",0.08
"Chrome 9.0",0.07
"Chrome 6.0",0.07
"Chrome 7.0",0.06
"Chrome 5.0",0.06
"Chrome 18.6",0.06
"Chrome 4.0",0.05
"RockMelt 0.16",0.05
"Chromium 18.0",0.05
"Opera 9.6",0.04
"Opera 10.6",0.03
"BlackBerry 0",0.03
"IE 10.0",0.03
"Opera 11.0",0.03
"Opera 11.1",0.03
"Chrome 3.0",0.02
"Opera 10.0",0.02
"Maxthon 2.0",0.02
"Firefox 1.0",0.02
"Opera 12.0",0.02
"TheWorld ",0.02
"Firefox 14.0",0.02
"Chrome 2.0",0.02
"SeaMonkey 2.8",0.02
"Opera 10.1",0.02
"Flock 2.6",0.02
"Mozilla 1.9",0.02
"Opera 0",0.01
"webOS Browser 0",0.01
"AppleWebKit 0",0.01
"Opera 9.5",0.01
"Firefox 1.5",0.01
"Safari 3.0",0.01
"Maxthon 3.0",0.01
"Opera 10.5",0.01
"Chrome 1.0",0.01
"360 0",0.01
"Firefox 15.0",0.01
"QQ Browser 6.12",0.01
"Safari 3.1",0.01
"Chromium 17.0",0.01
"Camino 2.1",0.01
"Safari 3.2",0.01
"Safari 5.2",0.01
"Iron 17.0",0.01
"Iron 18.0",0.01
"SeaMonkey 2.9",0.01
"Opera 9.2",0.01
"Iron 16.0",0
"Nokia 0",0
"Chrome 0.2",0
"AOL 7.0",0
"Windows Media Player 0",0
"Kindle 0",0
"SeaMonkey 2.0",0
"Chromium 14.0",0
"Flock 2.5",0
"Lunascape 6.6",0
"Comodo Dragon 15.0",0
"Chromium 15.0",0
"Kindle 3.0",0
"Flock 2.0",0
"Opera 9.0",0
"Comodo Dragon 16.1",0
"Flock 1.2",0
"SeaMonkey 2.7",0
"Opera 8.5",0
"IE 5.5",0
"Iron 15.0",0
"Chromium 12.0",0
"Mozilla 1.8",0
"Iron 14.0",0
"Safari 2.0",0
"Iron 13.0",0
"Chromium 16.0",0
"Firefox 3.1",0
"Mozilla 1.7",0
"Safari 1.3",0
"SeaMonkey 2.6",0
"SeaMonkey 2.4",0
"Flock 3.5",0
"Opera 8.0",0
"SeaMonkey 1.1",0
"Chrome 0.3",0
"Netscape 4.7",0
"Chrome 0.4",0
"SeaMonkey 2.5",0
"SeaMonkey 1.0",0
"QQ Browser 6.13",0
"Camino 2.0",0
"AOL 6.0",0
"K-Meleon 1.0",0
"QQ Browser 0",0
"Opera 9.1",0
"Iron 12.0",0
"SeaMonkey 2.3",0
"Comodo Dragon 16.2",0
"IE 5.01",0
"Epiphany 2.30",0
"Konqueror 3.5",0
"QQ Browser 3.1",0
"Iceweasel 2.0",0
"Iron 10.0",0
"SeaMonkey 2.2",0
"Epiphany 2.22",0
"Netscape 7.2",0
"Lunascape 6.5",0
"Iron 11.0",0
"Chromium 11.0",0
"Comodo Dragon 14.0",0
"Opera 10.2",0
"Iron 7.0",0
"Iron 8.0",0
"Firebird 0",0
"Silk 1.1",0
"Opera 7.2",0
"Opera 10.7",0
"IE 5.1",0
"Chromium 10.0",0
"IE 5.2",0
"Midori 0.4",0
"Opera 6.0",0
"QQ Browser 2.8",0
"K-Meleon 1.5",0
"Comodo Dragon 13.4",0
"Iron 9.0",0
"Iron 6.0",0
"Comodo Dragon 16.0",0
"Flock 1.0",0
"WebTV/MSNTV 2.6",0
"Anonymouse 0",0
"RockMelt 0.9",0
"QQ Browser 2.3",0
"QQ Browser 2.4",0
"Comodo Dragon 10.0",0
"Minefield 3.0",0
"Lunascape 6.7",0
"Comodo Dragon 12.1",0
"Camino 1.6",0
"Comodo Dragon 13.0",0
"Comodo Dragon 11.4",0
"IE 5.0",0
"Iron 5.0",0
"Comodo Dragon 14.2",0
"QQ Browser 6.11",0
"Safari 1.0",0
"Comodo Dragon 14.1",0
"SeaMonkey 2.1",0
"Comodo Dragon 12.2",0
"Konqueror 3.1",0
"Netscape 7.0",0
"Chrome for Andr",0
"Firefox 1.4",0
"Konqueror 3.0",0
"Comodo Dragon 8.0",0
"Comodo Dragon 17.4",0
"Firefox 0",0
"Comodo Dragon 17.3",0
"Chromium 8.0",0
"Chromium 9.0",0
"QQ Browser 2.7",0
"Safari 1.2",0
"Minefield 4.0",0
"MS OPD 0",0
"FrontPage 0",0
"Minefield 3.7",0
"Iron 4.0",0
"Midori 0.2",0
"Comodo Dragon 17.1",0
"Mozilla 1.0",0
"Netscape 4.03",0
"Safari 0",0
"Netscape 6.2",0
"Chromium 13.0",0
"Iron 3.0",0
"Opera 7.5",0
"Comodo Dragon 9.0",0
"Sleipnir 2.0",0
"Chromium 7.0",0
"QQ Browser 6.10",0
"QQ Browser 2.2",0
"Microsoft URL Control 0",0
"Netscape 8.0",0
"Camino 1.0",0
"Netscape 7.1",0
"Chromium 6.0",0
"Opera 7.0",0
"Comodo Dragon 13.2",0
"Netscape 4.8",0
"Netscape 8.1",0
"SaferSurf 0",0
"Epiphany 3.2",0
"Epiphany 3.0",0
"IE 4.01",0
"Lunascape 6.3",0
"ELinks 0.11",0
"Netscape 4.79",0
"Lynx 2.8",0
"QQ Browser 3.0",0
"Mozilla 1.4",0
"Camino 1.5",0
"UC Browser 0",0
"Thunderbird 3.0",0
"Windows Media Player 11.0",0
"QQ Browser 6.8",0
"Galeon 2.0",0
"UC Browser 7.8",0
"QQ Browser 6.9",0
"Comodo Dragon 6.0",0
