
"Browser Version","Market Share % W22 2011"
"IE 8.0",27.88
"Chrome 11.0",17.73
"Firefox 4.0",16.23
"Firefox 3.6",9.94
"IE 7.0",6
"IE 9.0",5.64
"Safari 5.0",3.8
"IE 6.0",3.73
"Firefox 3.5",1.52
"Opera 11.1",1.35
"Firefox 3.0",0.88
"Chrome 10.0",0.76
"Safari iPad",0.67
"Firefox 5.0",0.4
"Chrome 12.0",0.37
"Safari 4.0",0.32
"Safari 4.1",0.19
"Chrome 8.0",0.19
"Chrome 13.0",0.19
"Chrome 9.0",0.18
"Chrome 6.0",0.18
"Firefox 2.0",0.17
"Opera 11.0",0.15
"Sony PS3 0",0.15
"Chrome 5.0",0.15
"Chrome 4.0",0.11
"Chrome 7.0",0.11
"Opera 10.6",0.1
"Maxthon 2.0",0.06
"Chrome 3.0",0.05
"Opera 9.6",0.05
"Maxthon 3.0",0.05
"Maxthon 1.0",0.04
"Chromium 11.0",0.04
"Opera 10.1",0.04
"Mozilla 1.9",0.04
"RockMelt 0.9",0.04
"Android 0",0.04
"Opera 10.5",0.04
"Chrome 2.0",0.03
"Opera 10.0",0.03
"Safari 3.1",0.02
"SeaMonkey 2.0",0.02
"Safari 3.0",0.02
"Windows Media Player 0",0.02
"Firefox 1.5",0.02
"Safari 3.2",0.02
"Opera 0",0.02
"Opera 9.5",0.01
"Opera 11.5",0.01
"AOL 7.0",0.01
"Flock 2.0",0.01
"Opera 9.2",0.01
"Chrome 1.0",0.01
"Camino 2.0",0.01
"AppleWebKit 0",0.01
"Flock 3.5",0.01
"Firefox 1.0",0.01
"Firefox 3.1",0.01
"Iron 11.0",0.01
"Safari 1.3",0
"Iron 10.0",0
"Chrome 0.2",0
"Mozilla 1.8",0
"Comodo Dragon 11.4",0
"Chrome 0.3",0
"Lunascape 6.4",0
"AOL 6.0",0
"IE 5.5",0
"Safari 5.1",0
"Chromium 10.0",0
"Safari 2.0",0
"360 0",0
"Comodo Dragon 10.0",0
"Chromium 13.0",0
"Mozilla 1.7",0
"Iron 8.0",0
"Iron 9.0",0
"Iron 6.0",0
"K-Meleon 1.0",0
"SeaMonkey 1.1",0
"IE 0",0
"Chrome 0.4",0
"Iron 7.0",0
"Iceweasel 2.0",0
"Opera 10.7",0
"Minefield 4.0",0
"Konqueror 3.5",0
"Iron 5.0",0
"Opera 9.1",0
"Thunderbird 3.0",0
"Netscape 7.2",0
"IE 5.01",0
"K-Meleon 1.5",0
"Opera 9.0",0
"Chrome 14.0",0
"Chromium 8.0",0
"Chromium 12.0",0
"Iron 4.0",0
"Chromium 9.0",0
"Comodo Dragon 8.0",0
"Camino 1.6",0
"Mozilla 1.4",0
"Chromium 14.0",0
"Minefield 3.7",0
"WebTV/MSNTV 2.6",0
"Netscape 3.0",0
"Lunascape 6.3",0
"Flock 1.0",0
"Comodo Dragon 9.0",0
"Opera 8.5",0
"Chromium 7.0",0
"Comodo Dragon 6.0",0
"Iron 3.0",0
"Netscape 4.7",0
"Safari 1.0",0
"Lunascape 6.5",0
"Chromium 6.0",0
"Anonymouse 0",0
"Netscape 6.2",0
"IE 5.1",0
"Netscape 8.0",0
"Firebird 0",0
"Firefox 0",0
"Mozilla 1.5",0
"IE 5.0",0
"Opera 7.0",0
"Galeon 1.0",0
"Opera 5.0",0
"Camino 0.7",0
"Chimera 0",0
"Camino 1.5",0
"Links 2.2",0
"Minefield 3.0",0
"Windows Media Player 11.0",0
"Opera 10.2",0
"Opera 8.0",0
"Netscape 8.1",0
"IE 4.01",0
"Safari 0",0
"Safari 1.2",0
"Camino 2.1",0
"Sleipnir 2.0",0
"Netscape 7.1",0
"Netscape 7.0",0
"FrontPage 0",0
"Camino 1.0",0
"Mozilla 1.0",0
"Webaroo 0",0
"Comodo Dragon 4.1",0
"Mozilla 1.6",0
"Netscape 4.03",0
"Opera 7.5",0
"Lunascape 6.1",0
"Iron 2.0",0
"MS OPD 0",0
"Squid 0",0
"Konqueror 4.2",0
"SaferSurf 0",0
"Safari 1.1",0
"Flock 3.0",0
"Netscape 4.8",0
"Windows Media Player 9.0",0
"Galeon 2.0",0
"Konqueror 3.2",0
"Firefox 1.4",0
"SeaMonkey 1.0",0
"Lunascape 4.0",0
"Opera 10.3",0
"Iron 1.0",0
"Chromium 5.0",0
"Comodo Dragon 4.0",0
"NetSurf 0",0
