
"Browser Version","Market Share % W32 2011"
"IE 8.0",25.71
"Chrome 13.0",19.04
"Firefox 5.0",15.22
"Firefox 3.6",8.19
"IE 9.0",7.99
"IE 7.0",5.12
"IE 6.0",3.1
"Safari 5.0",2.3
"Firefox 4.0",2.23
"Chrome 12.0",1.97
"Safari 5.1",1.43
"Opera 11.5",1.19
"Safari iPad",0.89
"Firefox 3.0",0.7
"Firefox 3.5",0.65
"Firefox 6.0",0.5
"Chrome 11.0",0.39
"Chrome 14.0",0.35
"Chrome 10.0",0.34
"Safari 4.0",0.25
"Chrome 6.0",0.18
"Safari 4.1",0.17
"Opera 11.1",0.16
"Sony PS3 0",0.16
"Firefox 2.0",0.13
"Chrome 8.0",0.13
"Chrome 5.0",0.13
"Chrome 9.0",0.12
"Chrome 4.0",0.1
"Chrome 7.0",0.1
"Opera 11.0",0.08
"Opera 10.6",0.07
"Android 0",0.07
"Maxthon 3.0",0.06
"Chrome 15.0",0.05
"Chrome 3.0",0.05
"Maxthon 2.0",0.05
"Chromium 12.0",0.04
"Opera 9.6",0.04
"Firefox 7.0",0.04
"Chrome 2.0",0.03
"RockMelt 0.9",0.03
"Mozilla 1.9",0.03
"Opera 10.5",0.03
"Opera 10.1",0.03
"Opera 10.0",0.02
"Maxthon 1.0",0.02
"Opera 0",0.02
"Firefox 8.0",0.02
"Safari 3.1",0.02
"Safari 3.0",0.02
"Firefox 1.5",0.01
"Safari 3.2",0.01
"Opera 12.0",0.01
"SeaMonkey 2.2",0.01
"Flock 2.0",0.01
"AOL 7.0",0.01
"Opera 9.5",0.01
"Windows Media Player 0",0.01
"AppleWebKit 0",0.01
"Opera 9.2",0.01
"SeaMonkey 2.0",0.01
"Camino 2.0",0.01
"Chrome 1.0",0.01
"Firefox 1.0",0.01
"Iron 12.0",0.01
"Flock 3.5",0.01
"Chrome 0.2",0.01
"Firefox 3.1",0.01
"BlackBerry 0",0
"Lunascape 6.5",0
"Comodo Dragon 12.2",0
"Chromium 13.0",0
"Safari 1.3",0
"Chrome 0.3",0
"AOL 6.0",0
"360 0",0
