"Browser Version","Market Share Perc. (W50 2012)"
"Chrome 23.0",32.81
"IE 9.0",17.67
"Firefox 17.0",13.62
"IE 8.0",11.78
"Safari iPad",3.01
"Firefox 16.0",2.72
"Safari 5.1",2.01
"Safari 6.0",2
"IE 7.0",0.82
"Opera 12.1",0.73
"Firefox 12.0",0.73
"Safari 5.0",0.7
"Firefox 15.0",0.65
"Firefox 3.6",0.63
"Firefox 14.0",0.6
"IE 10.0",0.56
"Android 0",0.54
"Chrome 22.0",0.53
"Firefox 18.0",0.45
"Firefox 13.0",0.4
"Firefox 10.0",0.39
"IE 6.0",0.38
"Chrome 21.0",0.37
"Firefox 11.0",0.31
"Opera 12.0",0.27
"Chrome 24.0",0.25
"Firefox 9.0",0.22
"Firefox 4.0",0.21
"Firefox 8.0",0.19
"360 Safe Browser 0",0.16
"Chrome 17.0",0.16
"Chrome 15.0",0.16
"Firefox 5.0",0.14
"Chrome 11.0",0.14
"Firefox 3.0",0.14
"Chrome 25.0",0.13
"Firefox 7.0",0.13
"Chrome 14.0",0.13
"Sony PS3 0",0.13
"Sogou Explorer 0",0.13
"Chrome 12.0",0.13
"Firefox 6.0",0.13
"Chrome 13.0",0.12
"Chrome for Andr",0.12
"Chrome iPad",0.12
"Firefox 3.5",0.11
"Maxthon 3.0",0.11
"Chrome 20.0",0.11
"Safari 4.0",0.11
"Chrome 16.0",0.11
"Chrome 18.0",0.11
"Chrome 19.0",0.1
"Chrome 10.0",0.1
"Opera 11.6",0.09
"Safari 4.1",0.09
"Silk 1.0",0.08
"Chrome 8.0",0.06
"RockMelt 0.16",0.05
"Chrome 9.0",0.05
"Chrome 7.0",0.05
"Firefox 2.0",0.04
"Firefox 1.0",0.04
"Chrome 6.0",0.04
"Chrome 5.0",0.04
"BlackBerry 0",0.04
"Chrome 4.0",0.03
"Chromium 20.0",0.03
"Firefox 19.0",0.03
"Opera 11.5",0.03
"Yandex Browser 1.1",0.03
"Opera 0",0.03
"Pale Moon 15.3",0.02
"Chromium 18.0",0.02
"Opera 10.6",0.02
"TheWorld ",0.02
"Safari 3.0",0.02
"Tencent Traveler 4.0",0.02
"Maxthon 1.0",0.02
"Firefox 20.0",0.02
"Chrome 23.1",0.02
"Opera 11.0",0.02
"AppleWebKit 0",0.02
"Chromium 22.0",0.02
"Opera 10.0",0.02
"Chrome 3.0",0.01
"Opera 10.1",0.01
"SeaMonkey 2.14",0.01
"Opera 11.1",0.01
"Opera 9.6",0.01
"Chrome 2.0",0.01
"webOS Browser 0",0.01
"Chrome 23.2",0.01
"Maxthon 2.0",0.01
"QQ Browser 6.14",0.01
"Chrome 1.0",0.01
"Mozilla 1.9",0.01
"Chrome 18.6",0.01
"Netscape 4.7",0.01
"Maxthon 4.0",0.01
